recovery_case_id,service_ticket_id,pms_reservation_id,crm_guest_id,reservation_match_confidence,reservation_match_method,crm_match_confidence,crm_match_method,comp_match_confidence,comp_match_method,guest_tier,traveler_segment,nightly_rate,stay_value,estimated_lifetime_value,guest_value_score,repeat_comp_review_risk,arrival_date,service_date,booking_channel_proxy,room_type_mismatch,room_move_count,special_requests_count,failure_category,issue_code_raw,failure_type,severity,severity_inferred_flag,hotel_responsibility_score,reported_in_stay,resolution_delay_minutes,complaint_sentiment_intensity,review_risk_score,post_stay_score,actual_comp_codes_normalized,actual_comp_labels_raw,actual_comp_face_value,actual_comp_internal_cost,total_onsite_spend,f_and_b_spend,spa_wellness_spend,parking_spend,occupancy_pressure,housekeeping_pressure,front_desk_queue_pressure,food_beverage_capacity_pressure,spa_capacity_pressure,target_property_name,has_rooftop_f_and_b,has_lobby_lounge,has_spa_wellness,has_pool_or_rooftop,has_parking_or_fee_recovery_context,has_beachfront_or_ocean_context,property_context_confidence,rooftop_f_and_b_fit_modifier,spa_wellness_fit_modifier,lobby_lounge_fit_modifier,parking_fee_fit_modifier,late_checkout_fit_modifier,room_upgrade_fit_modifier,brand_experience_weight,property_context_provenance,public_review_risk_prior,review_context_confidence,review_context_provenance,event_pressure_index,weather_disruption_index,local_demand_pressure_index,high_local_demand_flag,demand_context_confidence,demand_context_provenance,target_public_rate,comp_set_median_rate,market_median_rate,proper_vs_comp_set_index,public_rate_pressure_index,high_demand_rate_flag,upgrade_opportunity_cost_proxy,refund_cost_pressure,pricing_quote_count,rate_context_confidence,pricing_provenance,data_quality_flags
case_00001,TKT000001,PMS001443,CRM001443,1.0,direct_pms_reservation_id,0.95,direct_crm_id,0.0,no_comp_record,new_guest,coastal_weekend,590,3540,7590,0.34,0,2026-04-11,2026-04-11,direct,false,0,0,housekeeping_miss,housekeeping,outcome,3,false,0.9,false,5,0.595,0.354,8.1,,,0,0,70,70,0,0,0.712,0.736,0.534,0.746,0.407,Santa Monica Proper Hotel,true,true,true,true,true,true,0.88,1.22,1.18,1.12,1.04,1.04,1.08,0.92,observed_public_property_context,0.72,0.28,sample_seed_review_taxonomy_prior,0.48,0.139,0.436,false,0.32,sample_seed_local_demand_context,670,720,695,0.931,0.198,false,83,0.943,6,0.92,sample_seed_public_rate_shape,no_comp_record
case_00002,TKT000002,PMS000013,CRM000013,1.0,direct_pms_reservation_id,0.95,direct_crm_id,1.0,direct_ticket_id,returning_guest,design_leisure,490,980,3640,0.307,0.2,2026-01-31,2026-01-31,ota,true,0,2,housekeeping_miss,hk miss,outcome,4,false,0.95,true,5,0.984,0.546,5.7,partial_room_refund,Refund,465,465,0,0,0,0,0.642,0.765,0.401,0.58,0.362,Santa Monica Proper Hotel,true,true,true,true,true,true,0.88,1.22,1.18,1.12,1.04,1.04,1.08,0.92,observed_public_property_context,0.72,0.28,sample_seed_review_taxonomy_prior,0.48,0.585,0.497,false,0.32,sample_seed_local_demand_context,735,735,735,1.0,0.455,false,132,1.051,6,0.92,sample_seed_public_rate_shape,
case_00003,TKT000003,PMS000837,CRM000837,1.0,direct_pms_reservation_id,0.95,direct_crm_id,1.0,direct_ticket_id,returning_guest,design_leisure,780,5460,16040,0.61,0,2026-10-18,2026-10-24,direct,false,0,1,f_and_b_service_lapse,order problem,process,3,false,0.7,true,5,0.6,0.479,0,room_upgrade,Suite upgrade,275,69,620,95,375,150,0.611,0.781,0.428,0.479,0.468,Santa Monica Proper Hotel,true,true,true,true,true,true,0.88,1.22,1.18,1.12,1.04,1.04,1.08,0.92,observed_public_property_context,0.6,0.28,sample_seed_review_taxonomy_prior,0.48,0.044,0.401,false,0.32,sample_seed_local_demand_context,685,725,715,0.945,0.257,false,94,0.968,6,0.92,sample_seed_public_rate_shape,no_review_or_survey
case_00004,TKT000004,PMS001087,CRM001087,1.0,direct_pms_reservation_id,0.95,direct_crm_id,1.0,direct_ticket_id,new_guest,coastal_weekend,750,1500,3050,0.217,0.2,2026-01-01,2026-01-02,direct,true,1,1,valet_or_parking_delay,car delay,process,2,true,0.62,true,5,0.4,0.337,0,spa_wellness_credit,Treatment recovery,365,201,870,240,630,0,0.669,0.683,0.474,0.705,0.359,Santa Monica Proper Hotel,true,true,true,true,true,true,0.88,1.22,1.18,1.12,1.04,1.04,1.08,0.92,observed_public_property_context,0.56,0.18,sample_seed_review_taxonomy_prior,0.48,0.04,0.381,false,0.32,sample_seed_local_demand_context,735,690,712,1.065,0.455,false,132,1.067,6,0.92,sample_seed_public_rate_shape,severity_inferred;no_review_or_survey
case_00005,TKT000005,PMS001405,CRM001405,1.0,direct_pms_reservation_id,0.95,direct_crm_id,1.0,direct_ticket_id,new_guest,business_traveler,950,3800,7670,0.369,0.2,2026-09-10,2026-09-11,ota,false,0,1,housekeeping_miss,linen/turndown,outcome,4,false,0.95,false,5,0.8,0.616,0,room_upgrade,View upgrade,280,70,290,290,0,0,0.725,0.799,0.698,0.606,0.538,Santa Monica Proper Hotel,true,true,true,true,true,true,0.88,1.22,1.18,1.12,1.04,1.04,1.08,0.92,observed_public_property_context,0.72,0.28,sample_seed_review_taxonomy_prior,0.7,0.052,0.522,false,0.32,sample_seed_local_demand_context,775,785,780,0.987,0.613,false,166,1.117,6,0.92,sample_seed_public_rate_shape,no_review_or_survey
case_00006,TKT000006,PMS001383,CRM001383,1.0,direct_pms_reservation_id,0.95,direct_crm_id,0.0,no_comp_record,returning_guest,coastal_weekend,750,1500,5340,0.332,0,2026-08-19,2026-08-20,ota,false,0,1,billing_or_fee_dispute,folio issue,process,2,false,0.55,false,5,0.169,0.338,7.8,,,0,0,355,355,0,0,0.659,0.61,0.394,0.704,0.713,Santa Monica Proper Hotel,true,true,true,true,true,true,0.88,1.22,1.18,1.12,1.04,1.04,1.08,0.92,observed_public_property_context,0.58,0.28,sample_seed_review_taxonomy_prior,0.22,0.425,0.299,false,0.32,sample_seed_local_demand_context,765,685,725,1.117,0.573,false,158,1.13,6,0.92,sample_seed_public_rate_shape,no_comp_record
case_00007,TKT000007,PMS000553,CRM000553,1.0,direct_pms_reservation_id,0.95,direct_crm_id,1.0,direct_ticket_id,new_guest,business_traveler,980,2940,3810,0.291,0.2,2026-06-22,2026-06-22,corporate,true,1,1,room_readiness_delay,room_not_ready,outcome,3,false,0.88,true,152,0.6,0.518,0,amenity_gesture,Welcome amenity,65,29,345,195,0,105,0.965,0.889,0.847,0.734,0.596,Santa Monica Proper Hotel,true,true,true,true,true,true,0.88,1.22,1.18,1.12,1.04,1.04,1.08,0.92,observed_public_property_context,0.74,0.28,sample_seed_review_taxonomy_prior,0.22,0.044,0.262,false,0.32,sample_seed_local_demand_context,795,735,765,1.082,0.692,false,185,1.171,6,0.92,sample_seed_public_rate_shape,no_review_or_survey
case_00008,TKT000008,PMS001239,CRM001239,1.0,direct_pms_reservation_id,0.95,direct_crm_id,1.0,direct_ticket_id,new_guest,design_leisure,610,1830,3250,0.234,0.2,2026-01-17,2026-01-18,direct,false,0,1,noise_disruption,noise,process,3,false,0.48,false,5,0.613,0.47,6.3,manager_note,GM follow-up,0,0,145,0,0,95,0.728,0.862,0.689,0.765,0.528,Santa Monica Proper Hotel,true,true,true,true,true,true,0.88,1.22,1.18,1.12,1.04,1.04,1.08,0.92,observed_public_property_context,0.62,0.28,sample_seed_review_taxonomy_prior,0.48,0.043,0.362,false,0.32,sample_seed_local_demand_context,715,720,718,0.993,0.375,false,116,1.018,6,0.92,sample_seed_public_rate_shape,
case_00009,TKT000009,PMS000232,CRM000232,1.0,direct_pms_reservation_id,0.95,direct_crm_id,1.0,direct_ticket_id,new_guest,local_staycation,670,4690,7750,0.411,0,2026-07-27,2026-07-28,travel_advisor,false,0,1,rooftop_pool_access_issue,rooftop issue,process,2,false,0.64,true,5,0.277,0.352,7.7,rooftop_f_and_b_credit,F&B,115,46,490,370,0,120,0.802,0.972,0.68,0.489,0.536,Santa Monica Proper Hotel,true,true,true,true,true,true,0.88,1.22,1.18,1.12,1.04,1.04,1.08,0.92,observed_public_property_context,0.6,0.28,sample_seed_review_taxonomy_prior,0.22,0.327,0.245,false,0.32,sample_seed_local_demand_context,715,650,682,1.1,0.375,false,116,1.043,6,0.92,sample_seed_public_rate_shape,
case_00010,TKT000010,PMS000817,CRM000817,1.0,direct_pms_reservation_id,0.95,direct_crm_id,0.0,no_comp_record,loyalty_guest,event_or_wedding,630,1260,7190,0.431,0,2026-02-13,2026-02-14,ota,false,0,1,room_readiness_delay,arrival delay,outcome,1,false,0.88,true,5,0.18,0.383,7.8,,,0,0,0,0,0,0,0.567,0.475,0.384,0.468,0.323,Santa Monica Proper Hotel,true,true,true,true,true,true,0.88,1.22,1.18,1.12,1.04,1.04,1.08,0.92,observed_public_property_context,0.74,0.28,sample_seed_review_taxonomy_prior,0.82,0.178,0.669,false,0.32,sample_seed_local_demand_context,825,855,840,0.965,0.81,true,213,1.2,6,0.92,sample_seed_public_rate_shape,no_comp_record
