service_date,occupancy_rate,housekeeping_pressure,front_desk_queue_pressure,maintenance_backlog,food_beverage_capacity_pressure,spa_capacity_pressure
2026-01-01,0.571,0.631,0.639,11,0.325,0.282
2026-01-02,0.669,0.683,0.474,9,0.705,0.359
2026-01-03,0.86,0.848,0.716,4,0.812,0.357
2026-01-04,0.796,0.825,0.607,2,0.517,0.374
2026-01-05,0.489,0.631,0.434,6,0.511,0.346
2026-01-06,0.737,0.729,0.817,2,0.662,0.229
2026-01-07,0.32,0.362,0.308,7,0.091,0.109
2026-01-08,0.622,0.745,0.477,7,0.443,0.395
2026-01-09,0.665,0.77,0.448,0,0.493,0.295
2026-01-10,0.696,0.741,0.323,15,0.472,0.387
2026-01-11,0.764,0.905,0.564,13,0.725,0.3
2026-01-12,0.742,0.76,0.62,6,0.501,0.59
2026-01-13,0.461,0.452,0.553,13,0.365,0.136
2026-01-14,0.32,0.319,0.144,6,0.15,0.192
2026-01-15,0.603,0.711,0.491,14,0.597,0.369
2026-01-16,0.768,0.7,0.446,10,0.512,0.314
2026-01-17,0.728,0.819,0.431,9,0.563,0.342
2026-01-18,0.728,0.862,0.689,15,0.765,0.528
2026-01-19,0.505,0.576,0.5,11,0.341,0.334
2026-01-20,0.486,0.564,0.393,8,0.508,0.231
2026-01-21,0.539,0.391,0.567,13,0.366,0.507
2026-01-22,0.505,0.673,0.464,12,0.477,0.231
2026-01-23,0.851,0.789,0.714,14,0.729,0.576
2026-01-24,0.592,0.652,0.288,11,0.736,0.391
2026-01-25,0.764,0.682,0.693,8,0.736,0.478
2026-01-26,0.676,0.689,0.518,10,0.412,0.457
2026-01-27,0.507,0.508,0.256,7,0.263,0.439
2026-01-28,0.683,0.702,0.537,12,0.569,0.481
2026-01-29,0.771,0.855,0.671,1,0.812,0.246
2026-01-30,0.593,0.551,0.436,13,0.32,0.455
2026-01-31,0.642,0.765,0.401,0,0.58,0.362
2026-02-01,0.32,0.288,0.233,14,0.358,0.299
2026-02-02,0.32,0.49,0.074,2,0.114,0.195
2026-02-03,0.629,0.622,0.82,13,0.295,0.261
2026-02-04,0.774,0.842,0.374,14,0.55,0.442
2026-02-05,0.464,0.45,0.348,15,0.474,0.271
2026-02-06,0.669,0.661,0.48,12,0.609,0.393
2026-02-07,0.515,0.532,0.429,8,0.357,0.314
2026-02-08,0.746,0.619,0.615,10,0.651,0.502
2026-02-09,0.612,0.564,0.634,15,0.399,0.53
2026-02-10,0.568,0.43,0.443,3,0.473,0.306
2026-02-11,0.444,0.297,0.422,12,0.395,0.159
2026-02-12,0.397,0.403,0.283,4,0.263,0.261
2026-02-13,0.32,0.36,0.357,8,0.358,0.193
2026-02-14,0.567,0.475,0.384,0,0.468,0.323
2026-02-15,0.422,0.386,0.23,6,0.161,0.214
2026-02-16,0.32,0.264,0.093,10,0.144,0.038
2026-02-17,0.63,0.534,0.641,6,0.53,0.223
2026-02-18,0.475,0.394,0.529,8,0.225,0.244
2026-02-19,0.615,0.549,0.504,8,0.502,0.258
2026-02-20,0.666,0.678,0.617,5,0.699,0.346
2026-02-21,0.496,0.401,0.364,0,0.563,0.176
2026-02-22,0.456,0.332,0.266,0,0.363,0.305
2026-02-23,0.463,0.401,0.209,10,0.263,0.278
2026-02-24,0.404,0.443,0.236,11,0.184,0.112
2026-02-25,0.32,0.283,0.257,0,0.259,0.17
2026-02-26,0.32,0.32,0.335,7,0.163,0.142
