service_ticket_id,pms_reservation_id,crm_guest_id,guest_lookup_key,room_number_proxy,opened_timestamp,closed_timestamp,department_raw,issue_code_raw,severity_raw,reported_in_stay,guest_notes_text,ticket_status,source_loaded_at
TKT000001,PMS001443,CRM001443,guest_key_01443,344,2026-04-11T18:50:00,2026-04-11T08:01:00,rooms,housekeeping,3,false,Guest reported a housekeeping miss that made the room feel below luxury standard.,manager_review,2026-04-14
TKT000002,PMS000013,CRM000013,guest_key_00013,,2026-01-31T13:10:00,2026-01-31T08:40:00,front_desk,hk miss,4,true,Guest reported a housekeeping miss that made the room feel below luxury standard.,closed,2026-02-01
TKT000003,PMS000837,CRM000837,,347,2026-10-24T14:19:00,2026-10-24T08:02:00,spa_wellness,order problem,3,true,Guest had a dining or service lapse during an on-property food and beverage experience.,closed,2026-10-27
TKT000004,PMS001087,,guest_key_01087,,2026-01-02T14:35:00,2026-01-02T08:22:00,front_desk,car delay,,true,Guest experienced valet or parking delay at a high-friction arrival or departure moment.,closed,2026-01-04
TKT000005,PMS001405,CRM001405,guest_key_01405,337,2026-09-11T22:30:00,2026-09-11T08:27:00,front_desk,linen/turndown,4,false,Guest reported a housekeeping miss that made the room feel below luxury standard.,open,2026-09-12
TKT000006,PMS001383,,guest_key_01383,352,2026-08-20T14:06:00,2026-08-20T08:04:00,food_beverage,folio issue,2,false,Guest questioned a charge and felt the explanation was not clear enough.,manager_review,2026-08-22
TKT000007,PMS000553,,guest_key_00553,391,2026-06-22T07:05:00,2026-06-22T09:37:00,spa_wellness,room_not_ready,3,true,Guest waited past arrival time and felt the welcome experience did not match the rate.,closed,2026-06-25
TKT000008,PMS001239,CRM001239,guest_key_01239,317,2026-01-18T16:05:00,2026-01-18T09:51:00,housekeeping,noise,3,false,Guest reported disrupted rest and expected a more serene stay.,closed,2026-01-19
TKT000009,PMS000232,CRM000232,guest_key_00232,470,2026-07-28T18:20:00,2026-07-28T08:02:00,engineering,rooftop issue,2,true,Guest expected a signature rooftop/pool experience but encountered access friction.,closed,2026-07-30
TKT000010,PMS000817,,guest_key_00817,,2026-02-14T10:42:00,2026-02-14T08:08:00,valet,arrival delay,1,true,Guest waited past arrival time and felt the welcome experience did not match the rate.,open,2026-02-15
TKT000011,PMS001392,CRM001392,guest_key_01392,,2026-11-16T09:27:00,2026-11-16T12:43:00,front_desk,fb service,2,true,Guest had a dining or service lapse during an on-property food and beverage experience.,closed,2026-11-19
TKT000012,PMS001069,CRM001069,guest_key_01069,466,2026-10-16T11:19:00,2026-10-16T08:15:00,food_beverage,sleep disruption,1,true,Guest reported disrupted rest and expected a more serene stay.,closed,2026-10-16
