captured_at,failure_category,public_review_theme,baseline_review_risk_prior,observed_negative_mentions,observed_positive_mentions,source_signal_count,observed_context_count,sample_seed_context_count,review_context_confidence,provenance,public_context_use,review_context_note
2026-07-13T20:30:32+00:00,room_readiness_delay,rooms;service;arrival,0.74,0,0,4380,0,2190,0.28,sample_seed_review_taxonomy_prior,issue-level review-risk prior for service recovery recommendations,Public review context or taxonomy prior only; not post-recovery satisfaction or actual Proper Hotels review outcomes.
2026-07-13T20:30:32+00:00,room_assignment_expectation_gap,rooms;expectations;service,0.68,0,0,4380,0,2190,0.28,sample_seed_review_taxonomy_prior,issue-level review-risk prior for service recovery recommendations,Public review context or taxonomy prior only; not post-recovery satisfaction or actual Proper Hotels review outcomes.
2026-07-13T20:30:32+00:00,housekeeping_miss,rooms;cleanliness;service,0.72,0,0,4380,0,2190,0.28,sample_seed_review_taxonomy_prior,issue-level review-risk prior for service recovery recommendations,Public review context or taxonomy prior only; not post-recovery satisfaction or actual Proper Hotels review outcomes.
2026-07-13T20:30:32+00:00,maintenance_issue,rooms;maintenance;amenities,0.69,0,0,4380,0,2190,0.28,sample_seed_review_taxonomy_prior,issue-level review-risk prior for service recovery recommendations,Public review context or taxonomy prior only; not post-recovery satisfaction or actual Proper Hotels review outcomes.
2026-07-13T20:30:32+00:00,noise_disruption,rooms;sleep;comfort,0.62,0,0,2190,0,2190,0.28,sample_seed_review_taxonomy_prior,issue-level review-risk prior for service recovery recommendations,Public review context or taxonomy prior only; not post-recovery satisfaction or actual Proper Hotels review outcomes.
2026-07-13T20:30:32+00:00,billing_or_fee_dispute,fees;billing;service,0.58,0,0,2190,0,2190,0.28,sample_seed_review_taxonomy_prior,issue-level review-risk prior for service recovery recommendations,Public review context or taxonomy prior only; not post-recovery satisfaction or actual Proper Hotels review outcomes.
2026-07-13T20:30:32+00:00,f_and_b_service_lapse,food;restaurant;service,0.6,0,0,2190,0,2190,0.28,sample_seed_review_taxonomy_prior,issue-level review-risk prior for service recovery recommendations,Public review context or taxonomy prior only; not post-recovery satisfaction or actual Proper Hotels review outcomes.
2026-07-13T20:30:32+00:00,rooftop_pool_access_issue,pool;rooftop;amenities,0.6,0,0,2190,0,2190,0.28,sample_seed_review_taxonomy_prior,issue-level review-risk prior for service recovery recommendations,Public review context or taxonomy prior only; not post-recovery satisfaction or actual Proper Hotels review outcomes.
2026-07-13T20:30:32+00:00,spa_wellness_service_issue,spa;wellness;amenities,0.64,0,0,2190,0,2190,0.28,sample_seed_review_taxonomy_prior,issue-level review-risk prior for service recovery recommendations,Public review context or taxonomy prior only; not post-recovery satisfaction or actual Proper Hotels review outcomes.
2026-07-13T20:30:32+00:00,valet_or_parking_delay,parking;valet;arrival,0.56,0,0,0,0,2190,0.18,sample_seed_review_taxonomy_prior,issue-level review-risk prior for service recovery recommendations,Public review context or taxonomy prior only; not post-recovery satisfaction or actual Proper Hotels review outcomes.
