comparison_version,policy_id,policy_label,policy_strategy,selection_eligible,recovery_case_id,guest_tier,failure_category,severity,hotel_responsibility_score,reported_in_stay,occupancy_pressure,high_demand_rate_flag,high_local_demand_flag,reservation_match_confidence,crm_match_confidence,reference_recovery_need_score,reference_recovery_tier,recommendation_status,selected_comp_code,selected_comp_label,selected_guest_facing_value,internal_cost_low,internal_cost_mid,internal_cost_high,issue_fit_score,selected_min_tier_fit,selected_max_tier_fit,adequacy_evaluable,recovery_adequate,safe_recovery_path,high_risk_case,high_risk_under_recovery,operational_infeasible,operational_pressure_review,fit_uncertainty_review,property_aligned_gesture,direct_room_refund,manager_review_required,manager_review_evaluable,data_hold_case,data_hold_compliant,tier_five_review_compliant,evaluation_provenance
comp-policy-comparison-v1.0.0,synthetic_discretionary_baseline,Synthetic discretionary baseline,replay_synthetic_history,false,case_00001,new_guest,housekeeping_miss,3,0.9,false,0.712,false,false,1.0,0.95,58.44,4,reference_unknown,no_matched_comp_record,No matched synthetic comp record,0,0,0,0,0.0,0,0,false,false,false,true,false,false,false,false,false,false,false,false,false,true,true,synthetic_case_policy_assumption
comp-policy-comparison-v1.0.0,tiered_standardization,Tiered standardization,highest_issue_fit,true,case_00001,new_guest,housekeeping_miss,3,0.9,false,0.712,false,false,1.0,0.95,58.44,4,recommendation,amenity_gesture,in-room amenity gesture,65,16,29,42,0.8,1,3,true,false,false,true,true,false,false,false,true,false,false,true,false,true,true,synthetic_case_policy_assumption
comp-policy-comparison-v1.0.0,cost_guardrail,Guardrailed recovery,lowest_cost_adequate,true,case_00001,new_guest,housekeeping_miss,3,0.9,false,0.712,false,false,1.0,0.95,58.44,4,recommendation,partial_room_refund,partial room refund,155,155,155,155,0.78,4,5,true,true,true,true,false,false,false,false,false,true,false,true,false,true,true,synthetic_case_policy_assumption
comp-policy-comparison-v1.0.0,recovery_first,Recovery first,highest_perceived_recovery,true,case_00001,new_guest,housekeeping_miss,3,0.9,false,0.712,false,false,1.0,0.95,58.44,4,recommendation,future_stay_credit,future-stay credit,205,62,123,174,0.56,4,5,true,false,true,true,false,false,false,true,false,false,true,true,false,true,true,synthetic_case_policy_assumption
comp-policy-comparison-v1.0.0,intelligent_generosity,Intelligent generosity,context_aware_policy_engine,true,case_00001,new_guest,housekeeping_miss,3,0.9,false,0.712,false,false,1.0,0.95,58.44,4,recommendation,rooftop_f_and_b_credit,Calabra or Palma dining credit,180,45,72,108,0.45,2,5,true,false,true,true,false,false,false,true,true,false,true,true,false,true,true,synthetic_case_policy_assumption
comp-policy-comparison-v1.0.0,synthetic_discretionary_baseline,Synthetic discretionary baseline,replay_synthetic_history,false,case_00002,returning_guest,housekeeping_miss,4,0.95,true,0.642,false,false,1.0,0.95,68.48,4,reference_action,partial_room_refund,partial room refund,465,465,465,465,0.78,4,5,true,true,true,true,false,false,false,false,false,true,false,false,false,true,true,synthetic_case_policy_assumption
comp-policy-comparison-v1.0.0,tiered_standardization,Tiered standardization,highest_issue_fit,true,case_00002,returning_guest,housekeeping_miss,4,0.95,true,0.642,false,false,1.0,0.95,68.48,4,recommendation,amenity_gesture,in-room amenity gesture,65,16,29,42,0.8,1,3,true,false,false,true,true,false,false,false,true,false,false,true,false,true,true,synthetic_case_policy_assumption
comp-policy-comparison-v1.0.0,cost_guardrail,Guardrailed recovery,lowest_cost_adequate,true,case_00002,returning_guest,housekeeping_miss,4,0.95,true,0.642,false,false,1.0,0.95,68.48,4,recommendation,partial_room_refund,partial room refund,150,150,150,150,0.78,4,5,true,true,true,true,false,false,false,false,false,true,false,true,false,true,true,synthetic_case_policy_assumption
comp-policy-comparison-v1.0.0,recovery_first,Recovery first,highest_perceived_recovery,true,case_00002,returning_guest,housekeeping_miss,4,0.95,true,0.642,false,false,1.0,0.95,68.48,4,recommendation,partial_room_refund,partial room refund,150,150,150,150,0.78,4,5,true,true,true,true,false,false,false,false,false,true,false,true,false,true,true,synthetic_case_policy_assumption
comp-policy-comparison-v1.0.0,intelligent_generosity,Intelligent generosity,context_aware_policy_engine,true,case_00002,returning_guest,housekeeping_miss,4,0.95,true,0.642,false,false,1.0,0.95,68.48,4,recommendation,rooftop_f_and_b_credit,Calabra or Palma dining credit,180,45,72,108,0.45,2,5,true,false,true,true,false,false,false,true,true,false,true,true,false,true,true,synthetic_case_policy_assumption
comp-policy-comparison-v1.0.0,synthetic_discretionary_baseline,Synthetic discretionary baseline,replay_synthetic_history,false,case_00003,returning_guest,f_and_b_service_lapse,3,0.7,true,0.611,false,false,1.0,0.95,56.87,3,reference_action,room_upgrade,room upgrade,275,69,69,69,0.16,3,5,true,false,false,false,false,false,false,false,true,false,false,false,false,true,true,synthetic_case_policy_assumption
comp-policy-comparison-v1.0.0,tiered_standardization,Tiered standardization,highest_issue_fit,true,case_00003,returning_guest,f_and_b_service_lapse,3,0.7,true,0.611,false,false,1.0,0.95,56.87,3,recommendation,rooftop_f_and_b_credit,Calabra or Palma dining credit,150,38,60,90,0.88,2,5,true,true,true,false,false,false,false,false,true,false,false,true,false,true,true,synthetic_case_policy_assumption
