audit_id,recovery_case_id,service_ticket_id,pms_reservation_id,audit_class,audit_flags,recommended_action,guest_tier,traveler_segment,failure_category,severity,recovery_need_score,review_risk_score,stay_value,estimated_lifetime_value,public_rate_pressure_index,high_demand_rate_flag,target_public_rate,comp_set_median_rate,rate_context_confidence,pricing_provenance,actual_comp_codes_normalized,actual_comp_face_value,actual_comp_internal_cost,recommended_comp_code,recommended_comp_label,recommended_comp_value,recommended_internal_cost,recommended_internal_cost_low,recommended_internal_cost_high,recommended_minus_actual_value,internal_cost_delta,manager_review_flag,decision_confidence,recommendation_stability,policy_id,policy_version,reservation_match_confidence,crm_match_confidence,data_quality_flags,recommendation_reason_codes
audit_00001,case_00001,TKT000001,PMS001443,data_quality_hold,no_historical_comp_record,Resolve source matching or missing reference action before comparing policies.,new_guest,coastal_weekend,housekeeping_miss,3,58.44,0.354,3540,7590,0.198,false,670,720,0.92,sample_seed_public_rate_shape,,0,0,rooftop_f_and_b_credit,Calabra or Palma dining credit,180,72,45,108,180,72,false,high,0.889,intelligent_generosity,smp-public-context-v1.0.0,1.0,0.95,no_comp_record,hotel_responsible_failure;high_perceived_value_lower_estimated_cost;property_fit_changed_recovery
audit_00002,case_00002,TKT000002,PMS000013,over_comped,high_severity,Review downward variance between the matched synthetic action and context-engine recommendation.,returning_guest,design_leisure,housekeeping_miss,4,68.48,0.546,980,3640,0.455,false,735,735,0.92,sample_seed_public_rate_shape,partial_room_refund,465,465,rooftop_f_and_b_credit,Calabra or Palma dining credit,180,72,45,108,-285,-393,false,high,1.0,intelligent_generosity,smp-public-context-v1.0.0,1.0,0.95,,hotel_responsible_failure;high_severity_issue;recoverable_before_checkout;high_perceived_value_lower_estimated_cost;property_fit_changed_recovery
audit_00003,case_00003,TKT000003,PMS000837,over_comped,,Review downward variance between the matched synthetic action and context-engine recommendation.,returning_guest,design_leisure,f_and_b_service_lapse,3,56.87,0.479,5460,16040,0.257,false,685,725,0.92,sample_seed_public_rate_shape,room_upgrade,275,69,rooftop_f_and_b_credit,Calabra or Palma dining credit,150,60,38,90,-125,-9,false,high,1.0,intelligent_generosity,smp-public-context-v1.0.0,1.0,0.95,no_review_or_survey,hotel_responsible_failure;recoverable_before_checkout;high_perceived_value_lower_estimated_cost
audit_00004,case_00004,TKT000004,PMS001087,over_comped,severity_inferred,Review downward variance between the matched synthetic action and context-engine recommendation.,new_guest,coastal_weekend,valet_or_parking_delay,2,41.04,0.337,1500,3050,0.455,false,735,690,0.92,sample_seed_public_rate_shape,spa_wellness_credit,365,201,parking_fee_waiver,parking or destination-fee waiver,75,14,6,26,-290,-187,false,moderate,1.0,intelligent_generosity,smp-public-context-v1.0.0,1.0,0.95,severity_inferred;no_review_or_survey,recoverable_before_checkout;high_perceived_value_lower_estimated_cost
audit_00005,case_00005,TKT000005,PMS001405,aligned_recovery,high_severity,Matched synthetic action and context-engine recommendation are within the diagnostic tolerance.,new_guest,business_traveler,housekeeping_miss,4,71.12,0.616,3800,7670,0.613,false,775,785,0.92,sample_seed_public_rate_shape,room_upgrade,280,70,future_stay_credit,future-stay credit,330,198,99,280,50,128,false,high,0.963,intelligent_generosity,smp-public-context-v1.0.0,1.0,0.95,no_review_or_survey,hotel_responsible_failure;high_severity_issue
audit_00006,case_00006,TKT000006,PMS001383,data_quality_hold,no_historical_comp_record,Resolve source matching or missing reference action before comparing policies.,returning_guest,coastal_weekend,billing_or_fee_dispute,2,42.03,0.338,1500,5340,0.573,false,765,685,0.92,sample_seed_public_rate_shape,,0,0,parking_fee_waiver,parking or destination-fee waiver,85,15,7,30,85,15,false,high,1.0,intelligent_generosity,smp-public-context-v1.0.0,1.0,0.95,no_comp_record,high_perceived_value_lower_estimated_cost
audit_00007,case_00007,TKT000007,PMS000553,under_recovered,,Review upward variance between the matched synthetic action and context-engine recommendation.,new_guest,business_traveler,room_readiness_delay,3,62.4,0.518,2940,3810,0.692,false,795,735,0.92,sample_seed_public_rate_shape,amenity_gesture,65,29,future_stay_credit,future-stay credit,345,207,104,293,280,178,false,high,0.963,intelligent_generosity,smp-public-context-v1.0.0,1.0,0.95,no_review_or_survey,hotel_responsible_failure;recoverable_before_checkout
audit_00008,case_00008,TKT000008,PMS001239,aligned_recovery,,Matched synthetic action and context-engine recommendation are within the diagnostic tolerance.,new_guest,design_leisure,noise_disruption,3,51.01,0.47,1830,3250,0.375,false,715,720,0.92,sample_seed_public_rate_shape,manager_note,0,0,spa_wellness_credit,Surya Spa or Recovery Suite credit,275,151,82,206,275,151,false,high,0.963,intelligent_generosity,smp-public-context-v1.0.0,1.0,0.95,,high_perceived_value_lower_estimated_cost
audit_00009,case_00009,TKT000009,PMS000232,aligned_recovery,,Matched synthetic action and context-engine recommendation are within the diagnostic tolerance.,new_guest,local_staycation,rooftop_pool_access_issue,2,43.33,0.352,4690,7750,0.375,false,715,650,0.92,sample_seed_public_rate_shape,rooftop_f_and_b_credit,115,46,rooftop_f_and_b_credit,Calabra or Palma dining credit,150,60,38,90,35,14,false,high,1.0,intelligent_generosity,smp-public-context-v1.0.0,1.0,0.95,,recoverable_before_checkout;high_perceived_value_lower_estimated_cost
audit_00010,case_00010,TKT000010,PMS000817,data_quality_hold,no_historical_comp_record,Resolve source matching or missing reference action before comparing policies.,loyalty_guest,event_or_wedding,room_readiness_delay,1,42.96,0.383,1260,7190,0.81,true,825,855,0.92,sample_seed_public_rate_shape,,0,0,rooftop_f_and_b_credit,Calabra or Palma dining credit,150,60,38,90,150,60,false,moderate,1.0,intelligent_generosity,smp-public-context-v1.0.0,1.0,0.95,no_comp_record,high_guest_relationship_value;hotel_responsible_failure;recoverable_before_checkout;high_perceived_value_lower_estimated_cost;public_rate_pressure_changed_recovery
