comparison_version,policy_id,policy_label,segment_dimension,segment_value,cases,suppressed_small_group,adequacy_rate,high_risk_under_recovery_rate,operational_infeasibility_rate,manager_review_rate,internal_cost_mid
comp-policy-comparison-v1.0.0,synthetic_discretionary_baseline,Synthetic discretionary baseline,severity,1,32,false,0.6667,0.0,0.0,0.0,468
comp-policy-comparison-v1.0.0,synthetic_discretionary_baseline,Synthetic discretionary baseline,severity,2,114,false,0.5714,0.0,0.0175,0.0,2969
comp-policy-comparison-v1.0.0,synthetic_discretionary_baseline,Synthetic discretionary baseline,severity,3,170,false,0.4356,0.7241,0.0235,0.0,4275
comp-policy-comparison-v1.0.0,synthetic_discretionary_baseline,Synthetic discretionary baseline,severity,4,81,false,0.3103,0.6842,0.0864,0.0,5876
comp-policy-comparison-v1.0.0,synthetic_discretionary_baseline,Synthetic discretionary baseline,severity,5,33,false,0.4,0.6,0.0,0.0,5521
comp-policy-comparison-v1.0.0,synthetic_discretionary_baseline,Synthetic discretionary baseline,failure_category,billing_or_fee_dispute,28,false,0.4167,1.0,0.0357,0.0,1426
comp-policy-comparison-v1.0.0,synthetic_discretionary_baseline,Synthetic discretionary baseline,failure_category,f_and_b_service_lapse,51,false,0.5926,0.6,0.0196,0.0,1385
comp-policy-comparison-v1.0.0,synthetic_discretionary_baseline,Synthetic discretionary baseline,failure_category,housekeeping_miss,59,false,0.1892,0.875,0.0508,0.0,2881
comp-policy-comparison-v1.0.0,synthetic_discretionary_baseline,Synthetic discretionary baseline,failure_category,maintenance_issue,45,false,0.1724,0.8333,0.0444,0.0,2640
comp-policy-comparison-v1.0.0,synthetic_discretionary_baseline,Synthetic discretionary baseline,failure_category,noise_disruption,38,false,0.52,0.6667,0.0263,0.0,1034
comp-policy-comparison-v1.0.0,synthetic_discretionary_baseline,Synthetic discretionary baseline,failure_category,rooftop_pool_access_issue,33,false,0.4,1.0,0.0303,0.0,1324
comp-policy-comparison-v1.0.0,synthetic_discretionary_baseline,Synthetic discretionary baseline,failure_category,room_assignment_expectation_gap,51,false,0.2963,0.7857,0.0196,0.0,2077
comp-policy-comparison-v1.0.0,synthetic_discretionary_baseline,Synthetic discretionary baseline,failure_category,room_readiness_delay,61,false,0.7619,0.3125,0.0492,0.0,3370
comp-policy-comparison-v1.0.0,synthetic_discretionary_baseline,Synthetic discretionary baseline,failure_category,spa_wellness_service_issue,27,false,0.3333,0.75,0.0,0.0,1810
comp-policy-comparison-v1.0.0,synthetic_discretionary_baseline,Synthetic discretionary baseline,failure_category,valet_or_parking_delay,37,false,0.7143,0.6667,0.0,0.0,1162
comp-policy-comparison-v1.0.0,synthetic_discretionary_baseline,Synthetic discretionary baseline,guest_tier,event_or_suite_guest,10,false,0.6667,0.4,0.0,0.0,422
comp-policy-comparison-v1.0.0,synthetic_discretionary_baseline,Synthetic discretionary baseline,guest_tier,loyalty_guest,59,false,0.5806,0.7,0.0169,0.0,2630
comp-policy-comparison-v1.0.0,synthetic_discretionary_baseline,Synthetic discretionary baseline,guest_tier,new_guest,229,false,0.4317,0.6842,0.0306,0.0,11191
comp-policy-comparison-v1.0.0,synthetic_discretionary_baseline,Synthetic discretionary baseline,guest_tier,returning_guest,100,false,0.4667,0.6,0.04,0.0,3238
comp-policy-comparison-v1.0.0,synthetic_discretionary_baseline,Synthetic discretionary baseline,guest_tier,vip_guest,32,false,0.2105,0.8571,0.0312,0.0,1628
comp-policy-comparison-v1.0.0,synthetic_discretionary_baseline,Synthetic discretionary baseline,occupancy_band,high,74,false,0.4694,0.4545,0.027,0.0,4779
