context_date,target_public_rate,comp_set_median_rate,market_median_rate,proper_vs_comp_set_index,public_rate_pressure_index,high_demand_rate_flag,upgrade_opportunity_cost_proxy,refund_cost_pressure,quote_count,target_property_quote_count,comp_set_quote_count,limited_availability_share,free_cancellation_share,target_rating,comp_set_median_rating,target_hotel_class,comp_set_median_hotel_class,target_amenity_count,comp_set_median_amenity_count,rate_context_confidence,pricing_capture_method,pricing_provenance,pricing_context_note
2026-01-01,650,640,645,1.016,0.119,false,69,0.914,6,1,5,0.0,0.667,4.5,4.4,5.0,5.0,8,7,0.92,sample_seed,sample_seed_public_rate_shape,"public quoted pricing context; not internal ADR, occupancy, revenue, margin, or comp policy"
2026-01-02,735,690,712,1.065,0.455,false,132,1.067,6,1,5,0.0,0.333,4.5,4.4,5.0,5.0,8,7,0.92,sample_seed,sample_seed_public_rate_shape,"public quoted pricing context; not internal ADR, occupancy, revenue, margin, or comp policy"
2026-01-03,650,725,715,0.897,0.119,false,69,0.91,6,1,5,0.0,0.667,4.5,4.4,5.0,5.0,8,7,0.92,sample_seed,sample_seed_public_rate_shape,"public quoted pricing context; not internal ADR, occupancy, revenue, margin, or comp policy"
2026-01-04,625,705,700,0.887,0.02,false,53,0.868,6,1,5,0.0,1.0,4.5,4.4,5.0,5.0,8,7,0.92,sample_seed,sample_seed_public_rate_shape,"public quoted pricing context; not internal ADR, occupancy, revenue, margin, or comp policy"
2026-01-05,630,675,675,0.933,0.04,false,56,0.877,6,1,5,0.0,1.0,4.5,4.4,5.0,5.0,8,7,0.92,sample_seed,sample_seed_public_rate_shape,"public quoted pricing context; not internal ADR, occupancy, revenue, margin, or comp policy"
2026-01-06,695,765,730,0.908,0.296,false,101,0.985,6,1,5,0.0,1.0,4.5,4.4,5.0,5.0,8,7,0.92,sample_seed,sample_seed_public_rate_shape,"public quoted pricing context; not internal ADR, occupancy, revenue, margin, or comp policy"
2026-01-07,675,705,705,0.957,0.217,false,86,0.951,6,1,5,0.0,1.0,4.5,4.4,5.0,5.0,8,7,0.92,sample_seed,sample_seed_public_rate_shape,"public quoted pricing context; not internal ADR, occupancy, revenue, margin, or comp policy"
2026-01-08,715,700,708,1.021,0.375,false,116,1.023,6,1,5,0.0,0.333,4.5,4.4,5.0,5.0,8,7,0.92,sample_seed,sample_seed_public_rate_shape,"public quoted pricing context; not internal ADR, occupancy, revenue, margin, or comp policy"
2026-01-09,770,755,762,1.02,0.593,false,162,1.114,6,1,5,0.0,0.667,4.5,4.4,5.0,5.0,8,7,0.92,sample_seed,sample_seed_public_rate_shape,"public quoted pricing context; not internal ADR, occupancy, revenue, margin, or comp policy"
2026-01-10,675,625,650,1.08,0.217,false,86,0.971,6,1,5,0.0,0.667,4.5,4.4,5.0,5.0,8,7,0.92,sample_seed,sample_seed_public_rate_shape,"public quoted pricing context; not internal ADR, occupancy, revenue, margin, or comp policy"
2026-01-11,805,815,815,0.988,0.731,true,194,1.167,6,1,5,0.333,0.5,4.5,4.4,5.0,5.0,8,7,0.92,sample_seed,sample_seed_public_rate_shape,"public quoted pricing context; not internal ADR, occupancy, revenue, margin, or comp policy"
2026-01-12,690,730,710,0.945,0.277,false,97,0.976,6,1,5,0.0,0.667,4.5,4.4,5.0,5.0,8,7,0.92,sample_seed,sample_seed_public_rate_shape,"public quoted pricing context; not internal ADR, occupancy, revenue, margin, or comp policy"
