anchor_id,captured_at,property_name,anchor_category,public_value,numeric_value,unit,source_url,source_summary,decision_use,confidence,provenance,internal_cost_known,public_safety_note
proper_room_count,2026-07-20T18:17:39+00:00,Santa Monica Proper Hotel,property_scale,262 guest rooms and suites,262,rooms_and_suites,https://www.properhotel.com/santa-monica/about/,The official property overview describes 262 guest rooms and suites.,property scale and synthetic operating-volume context,0.95,observed_public_official_property_source,false,"Observed public context only; no internal cost, margin, inventory, guest record, or approved comp policy."
proper_room_types,2026-07-20T18:17:39+00:00,Santa Monica Proper Hotel,room_inventory_context,"rooms, suites, connecting rooms, wellness rooms",,published_room_type_categories,https://www.properhotel.com/santa-monica/rooms/,"The official rooms page publishes standard rooms, suites, connecting configurations, and wellness-oriented rooms.",room-upgrade option taxonomy without claiming live availability,0.95,observed_public_official_property_source,false,"Observed public context only; no internal cost, margin, inventory, guest record, or approved comp policy."
proper_suite_late_checkout,2026-07-20T18:17:39+00:00,Santa Monica Proper Hotel,suite_benefit,guaranteed 2 PM late checkout for published eligible suite perks,14,local_hour,https://www.properhotel.com/santa-monica/rooms/,"The official rooms page lists guaranteed 2 PM late checkout among suite perks, subject to published exclusions.",evidence that late checkout fits the property experience when operationally available,0.95,observed_public_official_property_source,false,"Observed public context only; no internal cost, margin, inventory, guest record, or approved comp policy."
proper_destination_fee,2026-07-20T18:17:39+00:00,Santa Monica Proper Hotel,published_guest_fee,$63.36 including tax,63.36,USD_per_night,https://www.properhotel.com/santa-monica/compendium/,The official guest compendium publishes a daily destination amenity fee including tax.,guest-facing denomination anchor for a destination-fee waiver,0.95,observed_public_official_property_source,false,"Observed public context only; no internal cost, margin, inventory, guest record, or approved comp policy."
proper_valet_fee,2026-07-20T18:17:39+00:00,Santa Monica Proper Hotel,published_guest_fee,$84.96 including tax,84.96,USD_per_night,https://www.properhotel.com/santa-monica/compendium/,The official guest compendium publishes the overnight valet parking fee including tax.,guest-facing denomination anchor for a valet or parking waiver,0.95,observed_public_official_property_source,false,"Observed public context only; no internal cost, margin, inventory, guest record, or approved comp policy."
proper_dining_credit,2026-07-20T18:17:39+00:00,Santa Monica Proper Hotel,published_offer_credit,$100 dining credit per stay,100,USD_per_stay,https://www.properhotel.com/santa-monica/offers/stay-again-save-again/,An official return-stay offer publishes a $100 dining credit per stay.,guest-facing denomination anchor for Palma or Calabra dining recovery,0.95,observed_public_official_property_source,false,"Observed public context only; no internal cost, margin, inventory, guest record, or approved comp policy."
proper_return_offer,2026-07-20T18:17:39+00:00,Santa Monica Proper Hotel,published_return_offer,up to 10% off plus $100 dining credit,100,USD_credit_plus_discount,https://www.properhotel.com/santa-monica/offers/stay-again-save-again/,The official return-stay offer combines a public rate discount with a dining credit.,evidence that relationship-preserving future-stay gestures fit current public merchandising,0.95,observed_public_official_property_source,false,"Observed public context only; no internal cost, margin, inventory, guest record, or approved comp policy."
proper_recovery_suite_value,2026-07-20T18:17:39+00:00,Santa Monica Proper Hotel,published_wellness_value,$195 published package value,195,USD_per_session,https://www.properhotel.com/santa-monica/offers/movement-recovery/,An official wellness package publishes a value for a Recovery Suite session.,guest-facing denomination anchor for wellness recovery,0.95,observed_public_official_property_source,false,"Observed public context only; no internal cost, margin, inventory, guest record, or approved comp policy."
proper_surya_treatment_value,2026-07-20T18:17:39+00:00,Santa Monica Proper Hotel,published_wellness_value,$368 published package value,368,USD_per_treatment,https://www.properhotel.com/santa-monica/offers/movement-recovery/,An official wellness package publishes a value for one Surya Spa treatment including specified fees.,guest-facing denomination anchor for spa recovery,0.95,observed_public_official_property_source,false,"Observed public context only; no internal cost, margin, inventory, guest record, or approved comp policy."
proper_surya_discount,2026-07-20T18:17:39+00:00,Santa Monica Proper Hotel,published_guest_benefit,15% hotel-guest discount on Surya Spa treatments,15,percent,https://www.properhotel.com/santa-monica/surya-spa/,The official spa page publishes a hotel-guest treatment discount.,property-fit context; not an internal cost-rate estimate,0.95,observed_public_official_property_source,false,"Observed public context only; no internal cost, margin, inventory, guest record, or approved comp policy."
proper_signature_outlets,2026-07-20T18:17:39+00:00,Santa Monica Proper Hotel,property_experience,Calabra rooftop and Palma lobby lounge,,published_outlets,https://www.properhotel.com/santa-monica/about/,The official overview identifies Calabra and Palma as signature dining experiences.,property-specific recovery gesture labeling and fit,0.95,observed_public_official_property_source,false,"Observed public context only; no internal cost, margin, inventory, guest record, or approved comp policy."
