review_id,pms_reservation_id,guest_lookup_key,review_date,survey_or_review_source,post_stay_score,negative_text,sentiment_intensity,review_loaded_at
REV000001,,guest_key_01443,2026-04-30,public_review_proxy,8.1,Guest reported a housekeeping miss that made the room feel below luxury standard.,0.595,2026-05-14
REV000002,PMS000013,guest_key_00013,2026-02-18,public_review_proxy,5.7,Guest reported a housekeeping miss that made the room feel below luxury standard.,0.984,2026-02-10
REV000003,PMS001383,guest_key_01383,2026-09-03,guest_email_reply,7.8,Guest questioned a charge and felt the explanation was not clear enough.,0.169,2026-09-12
REV000004,PMS001239,guest_key_01239,2026-02-02,post_stay_survey,6.3,Guest reported disrupted rest and expected a more serene stay.,0.613,2026-02-16
REV000005,PMS000232,,2026-08-17,post_stay_survey,7.7,Guest expected a signature rooftop/pool experience but encountered access friction.,0.277,2026-08-21
REV000006,PMS000817,guest_key_00817,2026-02-18,public_review_proxy,7.8,Guest waited past arrival time and felt the welcome experience did not match the rate.,0.18,2026-03-13
REV000007,PMS001392,guest_key_01392,2026-12-01,post_stay_survey,7.7,Guest had a dining or service lapse during an on-property food and beverage experience.,0.398,2026-11-23
REV000008,PMS000371,,2026-09-16,post_stay_survey,6.5,Guest waited past arrival time and felt the welcome experience did not match the rate.,0.732,2026-09-10
REV000009,,,2026-03-09,public_review_proxy,8.3,Guest had a dining or service lapse during an on-property food and beverage experience.,0.46,2026-03-15
REV000010,PMS000841,guest_key_00841,2026-11-18,guest_email_reply,4.7,Guest had a dining or service lapse during an on-property food and beverage experience.,1,2026-11-15
REV000011,,,2026-09-21,post_stay_survey,5.8,Guest waited past arrival time and felt the welcome experience did not match the rate.,0.74,2026-09-20
REV000012,,guest_key_01399,2026-04-18,public_review_proxy,6.5,Guest expected a more desirable room configuration and felt the assignment missed the occasion.,0.518,2026-04-16
REV000013,PMS000146,,2026-02-03,public_review_proxy,6.9,Guest expected a signature rooftop/pool experience but encountered access friction.,0.272,2026-02-24
REV000014,PMS001547,,2026-07-05,post_stay_survey,5.1,Guest reported a housekeeping miss that made the room feel below luxury standard.,0.733,2026-07-10
REV000015,PMS000673,guest_key_00673,2026-08-18,public_review_proxy,8.5,Guest had a dining or service lapse during an on-property food and beverage experience.,0.007,2026-08-13
REV000016,,guest_key_01144,2026-01-14,post_stay_survey,5.4,Guest experienced valet or parking delay at a high-friction arrival or departure moment.,0.618,2026-01-20
REV000017,PMS000088,,2026-02-26,public_review_proxy,5.2,Guest expected a more desirable room configuration and felt the assignment missed the occasion.,1,2026-02-22
REV000018,,guest_key_01522,2026-12-05,public_review_proxy,6.8,Guest experienced a room maintenance problem requiring staff response.,0.636,2026-12-10
REV000019,PMS001133,,2026-04-15,public_review_proxy,6.4,Guest reported that a wellness or spa experience did not meet expectations.,0.511,2026-05-03
REV000020,PMS000678,,2026-09-22,post_stay_survey,5.6,Guest waited past arrival time and felt the welcome experience did not match the rate.,0.874,2026-10-12
REV000021,PMS000056,guest_key_00056,2026-06-14,post_stay_survey,6.6,Guest reported that a wellness or spa experience did not meet expectations.,0.73,2026-06-03
REV000022,PMS001310,guest_key_01310,2027-01-11,public_review_proxy,7.2,Guest had a dining or service lapse during an on-property food and beverage experience.,0.598,2027-01-09
REV000023,PMS001227,,2026-06-29,guest_email_reply,6.6,Guest experienced valet or parking delay at a high-friction arrival or departure moment.,0.667,2026-07-05
REV000024,PMS001376,guest_key_01376,2026-02-13,post_stay_survey,6.1,Guest had a dining or service lapse during an on-property food and beverage experience.,0.61,2026-02-14
REV000025,PMS000126,guest_key_00126,2026-08-13,post_stay_survey,6.6,Guest experienced a room maintenance problem requiring staff response.,0.732,2026-08-25
REV000026,PMS000705,guest_key_00705,2026-06-23,public_review_proxy,8.0,Guest had a dining or service lapse during an on-property food and beverage experience.,0.428,2026-06-30
REV000027,,guest_key_00031,2026-06-22,post_stay_survey,8.1,Guest had a dining or service lapse during an on-property food and beverage experience.,0.476,2026-07-02
REV000028,,guest_key_00941,2026-11-26,post_stay_survey,5.3,Guest reported disrupted rest and expected a more serene stay.,0.587,2026-11-28
REV000029,,,2026-11-07,public_review_proxy,6.2,Guest experienced a room maintenance problem requiring staff response.,0.386,2026-11-16
REV000030,PMS000293,,2026-03-01,post_stay_survey,6.6,Guest reported that a wellness or spa experience did not meet expectations.,0.559,2026-02-23
REV000031,PMS000403,,2026-07-20,post_stay_survey,7.5,Guest reported disrupted rest and expected a more serene stay.,0.27,2026-08-03
REV000032,PMS000684,guest_key_00684,2026-06-27,post_stay_survey,6.6,Guest waited past arrival time and felt the welcome experience did not match the rate.,0.812,2026-07-02
REV000033,PMS000954,guest_key_00954,2026-01-23,public_review_proxy,6.7,Guest reported a housekeeping miss that made the room feel below luxury standard.,0.51,2026-02-03
REV000034,PMS000103,,2026-08-14,public_review_proxy,5.7,Guest reported a housekeeping miss that made the room feel below luxury standard.,0.582,2026-08-12
REV000035,PMS000326,guest_key_00326,2026-05-07,public_review_proxy,6.2,Guest waited past arrival time and felt the welcome experience did not match the rate.,0.682,2026-05-30
REV000036,,guest_key_00230,2026-07-07,post_stay_survey,5.2,Guest questioned a charge and felt the explanation was not clear enough.,0.833,2026-07-14
REV000037,PMS000015,guest_key_00015,2027-01-14,guest_email_reply,6.1,Guest expected a signature rooftop/pool experience but encountered access friction.,0.671,2027-01-15
REV000038,,,2026-08-07,post_stay_survey,7.6,Guest expected a signature rooftop/pool experience but encountered access friction.,0.079,2026-08-05
REV000039,PMS000046,guest_key_00046,2026-11-21,public_review_proxy,5.3,Guest experienced a room maintenance problem requiring staff response.,0.749,2026-11-21
REV000040,PMS000254,guest_key_00254,2026-09-21,post_stay_survey,6.8,Guest reported a housekeeping miss that made the room feel below luxury standard.,0.909,2026-09-14
REV000041,PMS001437,,2026-08-26,guest_email_reply,7.0,Guest reported disrupted rest and expected a more serene stay.,0.879,2026-09-01
REV000042,PMS000638,,2026-02-17,public_review_proxy,5.4,Guest reported a housekeeping miss that made the room feel below luxury standard.,0.77,2026-02-22
REV000043,,,2026-06-17,guest_email_reply,6.9,Guest had a dining or service lapse during an on-property food and beverage experience.,0.717,2026-06-13
REV000044,,guest_key_00439,2026-08-28,post_stay_survey,5.8,Guest questioned a charge and felt the explanation was not clear enough.,0.624,2026-08-23
REV000045,PMS000452,,2026-02-13,guest_email_reply,6.7,Guest had a dining or service lapse during an on-property food and beverage experience.,0.587,2026-02-25
REV000046,PMS001451,guest_key_01451,2026-12-10,post_stay_survey,5.2,Guest reported disrupted rest and expected a more serene stay.,0.673,2026-12-15
REV000047,,guest_key_01148,2026-12-21,post_stay_survey,9.0,Guest had a dining or service lapse during an on-property food and beverage experience.,0.051,2026-12-23
REV000048,,guest_key_01532,2026-09-23,post_stay_survey,6.9,Guest waited past arrival time and felt the welcome experience did not match the rate.,0.201,2026-10-01
REV000049,,guest_key_00720,2027-01-04,post_stay_survey,5.8,Guest expected a more desirable room configuration and felt the assignment missed the occasion.,0.589,2027-01-06
REV000050,,guest_key_01325,2026-03-04,post_stay_survey,5.8,Guest expected a more desirable room configuration and felt the assignment missed the occasion.,0.86,2026-03-18
REV000051,PMS000974,guest_key_00974,2026-04-10,post_stay_survey,5.8,Guest experienced a room maintenance problem requiring staff response.,0.728,2026-03-29
REV000052,,guest_key_00986,2026-08-30,post_stay_survey,7.5,Guest expected a more desirable room configuration and felt the assignment missed the occasion.,0.706,2026-09-05
REV000053,,guest_key_01465,2026-04-28,public_review_proxy,4.4,Guest waited past arrival time and felt the welcome experience did not match the rate.,0.858,2026-04-18
REV000054,PMS001448,guest_key_01448,2026-01-28,public_review_proxy,6.7,Guest experienced a room maintenance problem requiring staff response.,0.691,2026-02-01
REV000055,PMS001292,,2026-07-18,public_review_proxy,6.4,Guest had a dining or service lapse during an on-property food and beverage experience.,0.663,2026-07-28
REV000056,PMS000872,guest_key_00872,2026-12-06,public_review_proxy,6.7,Guest reported that a wellness or spa experience did not meet expectations.,0.474,2026-12-04
REV000057,PMS000078,guest_key_00078,2026-12-16,guest_email_reply,5.5,Guest had a dining or service lapse during an on-property food and beverage experience.,0.704,2026-12-05
REV000058,,guest_key_00385,2026-10-15,post_stay_survey,7.0,Guest experienced valet or parking delay at a high-friction arrival or departure moment.,0.821,2026-11-01
