comp_code,comp_label,face_value_min,face_value_default,face_value_max,internal_cost_rate_low,estimated_internal_cost_rate,internal_cost_rate_high,guest_perceived_value_multiplier,min_tier_fit,max_tier_fit,primary_use_case,parameter_provenance,public_anchor_ids,policy_version
manager_note,manager note and personal follow-up,0,0,0,0.0,0.0,0.0,1.0,1,3,low-severity issue where tone and acknowledgment matter most,policy_assumption,,smp-public-context-v1.0.0
amenity_gesture,in-room amenity gesture,35,55,90,0.25,0.45,0.65,1.35,1,3,"minor housekeeping, noise, or arrival-friction recovery",policy_assumption,proper_destination_fee,smp-public-context-v1.0.0
late_checkout,late checkout,50,85,150,0.08,0.2,0.45,1.45,2,4,arrival delay or disrupted rest when operational availability allows,public_option_policy_cost_assumption,proper_suite_late_checkout,smp-public-context-v1.0.0
parking_fee_waiver,parking or destination-fee waiver,65,85,170,0.08,0.18,0.35,1.15,2,4,"valet, parking, billing, or fee-friction recovery",observed_public_face_value_policy_cost_assumption,proper_destination_fee;proper_valet_fee,smp-public-context-v1.0.0
lobby_lounge_credit,Palma lounge credit,75,100,225,0.25,0.38,0.55,1.18,2,4,arrival friction or moderate service lapse,observed_public_face_value_policy_cost_assumption,proper_dining_credit,smp-public-context-v1.0.0
rooftop_f_and_b_credit,Calabra or Palma dining credit,100,150,350,0.25,0.4,0.6,1.25,2,5,high-touch recovery that preserves the property experience without immediate room-rate erosion,observed_public_face_value_policy_cost_assumption,proper_dining_credit,smp-public-context-v1.0.0
spa_wellness_credit,Surya Spa or Recovery Suite credit,195,275,450,0.3,0.55,0.75,1.35,3,5,wellness-focused guest recovery or severe rest-disruption recovery,observed_public_face_value_policy_cost_assumption,proper_recovery_suite_value;proper_surya_treatment_value,smp-public-context-v1.0.0
room_upgrade,room upgrade,175,300,650,0.08,0.25,0.65,1.4,3,5,room expectation gap when inventory allows,public_room_type_context_policy_cost_assumption,proper_room_types,smp-public-context-v1.0.0
partial_room_refund,partial room refund,150,350,900,1.0,1.0,1.0,1.0,4,5,severe hotel-responsible failure where relationship risk outweighs rate erosion,policy_assumption,,smp-public-context-v1.0.0
future_stay_credit,future-stay credit,150,300,700,0.3,0.6,0.85,1.2,4,5,"relationship preservation for repeat, VIP, or event guests",policy_assumption,proper_return_offer,smp-public-context-v1.0.0
