pos_charge_id,pms_reservation_id,guest_lookup_key,outlet,charge_amount,charge_timestamp,void_or_adjustment_flag
POS0000001,PMS000001,guest_key_00001,calabra_rooftop,170,2026-10-24,false
POS0000002,PMS000001,guest_key_00001,valet_parking,105,2026-10-25,false
POS0000003,PMS000001,guest_key_00001,calabra_rooftop,155,2026-10-25,false
POS0000004,PMS000002,guest_key_00002,calabra_rooftop,115,2026-01-28,false
POS0000005,PMS000002,guest_key_00002,calabra_rooftop,90,2026-01-27,false
POS0000006,PMS000003,guest_key_00003,mini_bar_amenity,25,2026-01-05,false
POS0000007,PMS000003,guest_key_00003,spa_wellness,315,2026-01-06,false
POS0000008,PMS000003,guest_key_00003,spa_wellness,270,2026-01-07,false
POS0000009,PMS000003,guest_key_00003,palma_lobby_lounge,25,2026-01-06,false
POS0000010,PMS000004,guest_key_00004,in_room_dining,240,2026-07-10,false
POS0000011,PMS000004,guest_key_00004,palma_lobby_lounge,45,2026-07-09,false
POS0000012,PMS000006,guest_key_00006,in_room_dining,120,2026-07-25,false
POS0000013,PMS000006,guest_key_00006,in_room_dining,155,2026-07-25,false
POS0000014,PMS000007,guest_key_00007,valet_parking,50,2026-02-11,false
POS0000015,PMS000009,guest_key_00009,in_room_dining,160,2026-01-23,false
POS0000016,PMS000009,guest_key_00009,calabra_rooftop,120,2026-01-21,false
POS0000017,PMS000009,guest_key_00009,calabra_rooftop,460,2026-01-20,false
POS0000018,PMS000010,guest_key_00010,valet_parking,190,2026-03-12,false
POS0000019,PMS000011,,calabra_rooftop,100,2026-08-21,false
POS0000020,PMS000011,guest_key_00011,spa_wellness,355,2026-08-21,false
POS0000021,PMS000011,,calabra_rooftop,535,2026-08-21,false
POS0000022,PMS000012,guest_key_00012,in_room_dining,355,2026-07-07,false
POS0000023,PMS000012,guest_key_00012,palma_lobby_lounge,80,2026-07-07,false
POS0000024,PMS000014,guest_key_00014,valet_parking,205,2026-09-08,false
POS0000025,PMS000014,guest_key_00014,palma_lobby_lounge,25,2026-09-07,false
POS0000026,PMS000015,,palma_lobby_lounge,130,2026-12-25,false
POS0000027,PMS000015,guest_key_00015,calabra_rooftop,180,2026-12-27,false
POS0000028,PMS000015,guest_key_00015,palma_lobby_lounge,140,2026-12-25,false
POS0000029,PMS000018,guest_key_00018,calabra_rooftop,290,2026-09-05,false
POS0000030,PMS000018,guest_key_00018,in_room_dining,305,2026-09-05,false
POS0000031,PMS000018,guest_key_00018,valet_parking,130,2026-09-05,true
POS0000032,PMS000019,guest_key_00019,in_room_dining,165,2026-10-30,false
POS0000033,PMS000019,guest_key_00019,mini_bar_amenity,50,2026-10-31,false
POS0000034,PMS000019,guest_key_00019,in_room_dining,95,2026-10-31,false
POS0000035,PMS000020,,valet_parking,85,2026-02-09,false
POS0000036,PMS000021,guest_key_00021,calabra_rooftop,210,2026-09-30,false
POS0000037,PMS000023,guest_key_00023,valet_parking,245,2026-01-06,false
POS0000038,PMS000024,guest_key_00024,calabra_rooftop,200,2026-12-25,false
POS0000039,PMS000024,guest_key_00024,palma_lobby_lounge,85,2026-12-24,false
POS0000040,PMS000024,,spa_wellness,165,2026-12-24,false
POS0000041,PMS000025,guest_key_00025,calabra_rooftop,350,2026-04-25,false
POS0000042,PMS000025,guest_key_00025,valet_parking,35,2026-04-23,false
POS0000043,PMS000025,,calabra_rooftop,230,2026-04-23,false
POS0000044,PMS000025,guest_key_00025,in_room_dining,90,2026-04-24,false
POS0000045,PMS000026,guest_key_00026,calabra_rooftop,125,2026-02-09,false
POS0000046,PMS000026,guest_key_00026,calabra_rooftop,370,2026-02-09,false
POS0000047,PMS000026,guest_key_00026,mini_bar_amenity,80,2026-02-10,false
POS0000048,PMS000026,guest_key_00026,palma_lobby_lounge,60,2026-02-09,false
POS0000049,PMS000027,guest_key_00027,palma_lobby_lounge,105,2026-12-29,false
POS0000050,PMS000027,guest_key_00027,calabra_rooftop,150,2026-12-29,false
POS0000051,PMS000027,guest_key_00027,in_room_dining,195,2026-12-29,false
POS0000052,PMS000029,guest_key_00029,calabra_rooftop,890,2026-07-14,false
POS0000053,PMS000029,guest_key_00029,calabra_rooftop,100,2026-07-14,true
POS0000054,PMS000030,guest_key_00030,valet_parking,80,2026-11-21,false
POS0000055,PMS000030,guest_key_00030,valet_parking,70,2026-11-21,false
POS0000056,PMS000030,guest_key_00030,calabra_rooftop,170,2026-11-21,false
POS0000057,PMS000031,guest_key_00031,calabra_rooftop,520,2026-06-05,false
POS0000058,PMS000031,guest_key_00031,palma_lobby_lounge,55,2026-06-07,false
POS0000059,PMS000031,guest_key_00031,in_room_dining,460,2026-06-05,false
POS0000060,PMS000031,guest_key_00031,calabra_rooftop,100,2026-06-05,false
POS0000061,,,palma_lobby_lounge,115,2026-09-21,false
POS0000062,PMS000032,guest_key_00032,in_room_dining,95,2026-09-21,false
POS0000063,PMS000032,guest_key_00032,spa_wellness,250,2026-09-21,false
POS0000064,PMS000032,guest_key_00032,calabra_rooftop,215,2026-09-22,false
POS0000065,PMS000033,guest_key_00033,calabra_rooftop,165,2026-07-22,false
POS0000066,PMS000033,guest_key_00033,mini_bar_amenity,45,2026-07-22,false
POS0000067,PMS000033,guest_key_00033,in_room_dining,180,2026-07-21,false
POS0000068,PMS000034,guest_key_00034,calabra_rooftop,60,2026-02-21,false
POS0000069,PMS000034,guest_key_00034,calabra_rooftop,280,2026-02-21,true
POS0000070,PMS000035,guest_key_00035,valet_parking,100,2026-06-29,false
POS0000071,PMS000036,,calabra_rooftop,105,2026-02-23,false
POS0000072,PMS000036,guest_key_00036,spa_wellness,385,2026-02-23,false
POS0000073,PMS000036,guest_key_00036,palma_lobby_lounge,105,2026-02-23,false
POS0000074,PMS000037,guest_key_00037,palma_lobby_lounge,115,2026-10-31,false
POS0000075,PMS000037,guest_key_00037,spa_wellness,405,2026-11-02,false
POS0000076,PMS000037,guest_key_00037,calabra_rooftop,85,2026-11-03,false
POS0000077,PMS000037,guest_key_00037,calabra_rooftop,170,2026-10-31,false
POS0000078,PMS000038,guest_key_00038,palma_lobby_lounge,205,2026-02-19,false
POS0000079,PMS000038,guest_key_00038,palma_lobby_lounge,120,2026-02-21,false
POS0000080,PMS000038,guest_key_00038,calabra_rooftop,250,2026-02-21,false
POS0000081,PMS000039,,mini_bar_amenity,70,2026-12-30,false
POS0000082,PMS000039,guest_key_00039,spa_wellness,230,2026-12-28,false
POS0000083,PMS000040,guest_key_00040,valet_parking,50,2026-07-19,false
POS0000084,,guest_key_00040,palma_lobby_lounge,90,2026-07-18,false
POS0000085,,,spa_wellness,145,2026-07-18,false
POS0000086,PMS000042,guest_key_00042,calabra_rooftop,280,2026-11-01,false
POS0000087,PMS000042,guest_key_00042,valet_parking,205,2026-11-02,false
POS0000088,PMS000042,,calabra_rooftop,255,2026-11-02,false
POS0000089,PMS000042,guest_key_00042,calabra_rooftop,260,2026-11-01,false
POS0000090,PMS000043,guest_key_00043,valet_parking,30,2026-12-10,false
POS0000091,PMS000043,guest_key_00043,in_room_dining,60,2026-12-12,false
POS0000092,PMS000044,,palma_lobby_lounge,105,2026-11-07,false
POS0000093,PMS000045,guest_key_00045,mini_bar_amenity,75,2026-04-19,false
POS0000094,PMS000045,guest_key_00045,mini_bar_amenity,35,2026-04-19,false
POS0000095,PMS000045,guest_key_00045,palma_lobby_lounge,135,2026-04-20,false
POS0000096,PMS000045,guest_key_00045,mini_bar_amenity,110,2026-04-19,false
POS0000097,PMS000046,guest_key_00046,palma_lobby_lounge,60,2026-10-31,false
POS0000098,,guest_key_00046,spa_wellness,665,2026-10-29,false
POS0000099,PMS000047,guest_key_00047,mini_bar_amenity,155,2026-03-13,false
POS0000100,PMS000048,guest_key_00048,palma_lobby_lounge,215,2026-11-14,false
POS0000101,PMS000049,guest_key_00049,valet_parking,190,2026-05-18,false
POS0000102,PMS000049,guest_key_00049,calabra_rooftop,85,2026-05-18,false
POS0000103,PMS000049,guest_key_00049,calabra_rooftop,365,2026-05-20,false
POS0000104,PMS000049,guest_key_00049,spa_wellness,470,2026-05-20,false
POS0000105,PMS000050,guest_key_00050,calabra_rooftop,610,2026-11-28,false
POS0000106,PMS000050,guest_key_00050,calabra_rooftop,105,2026-11-28,false
POS0000107,PMS000051,guest_key_00051,in_room_dining,665,2026-11-17,false
POS0000108,PMS000051,guest_key_00051,calabra_rooftop,315,2026-11-16,true
POS0000109,PMS000052,guest_key_00052,calabra_rooftop,330,2026-09-28,false
POS0000110,PMS000052,,calabra_rooftop,120,2026-09-29,false
POS0000111,PMS000052,guest_key_00052,palma_lobby_lounge,70,2026-10-01,false
POS0000112,PMS000053,,palma_lobby_lounge,120,2026-11-05,false
POS0000113,PMS000053,guest_key_00053,calabra_rooftop,65,2026-11-05,false
POS0000114,PMS000053,guest_key_00053,in_room_dining,225,2026-11-05,false
POS0000115,PMS000054,guest_key_00054,in_room_dining,75,2026-06-21,false
POS0000116,PMS000054,guest_key_00054,palma_lobby_lounge,80,2026-06-21,false
POS0000117,PMS000054,guest_key_00054,valet_parking,110,2026-06-20,false
POS0000118,PMS000054,,calabra_rooftop,110,2026-06-21,true
POS0000119,PMS000056,guest_key_00056,calabra_rooftop,335,2026-05-30,false
POS0000120,PMS000056,,mini_bar_amenity,25,2026-05-29,false
