scenario_id,scenario_name,guest_tier,traveler_segment,stay_value,estimated_lifetime_value,nightly_rate,repeat_comp_review_risk,failure_category,failure_type,severity,hotel_responsibility,reported_in_stay,resolution_delay_minutes,sentiment_intensity,review_risk,occupancy_pressure,scenario_note
scenario_01,High-value repeat guest waits for room,loyalty_guest,coastal_weekend,2800,14000,700,0.04,room_readiness_delay,outcome,4,0.9,true,95,0.76,0.8,0.72,Classic high-review-risk arrival recovery case
scenario_02,Rooftop dining service lapse for returning guest,returning_guest,design_leisure,1800,7200,600,0.03,f_and_b_service_lapse,process,4,0.78,true,55,0.72,0.66,0.64,Hospitality-preserving F&B credit should beat a refund
scenario_03,Spa wellness miss after checkout,new_guest,wellness_getaway,2400,5200,800,0.02,spa_wellness_service_issue,process,5,0.82,false,240,0.82,0.78,0.59,Delayed recovery with wellness-specific comp
scenario_04,Valet delay for loyalty guest,loyalty_guest,local_staycation,1600,9000,530,0.08,valet_or_parking_delay,process,3,0.72,true,45,0.54,0.58,0.7,Parking/fee waiver fit case
scenario_05,Housekeeping miss for VIP suite guest,vip_guest,event_or_suite_guest,5200,32000,1300,0.03,housekeeping_miss,outcome,5,0.95,true,120,0.9,0.9,0.86,Severe hotel-responsible case needing manager review
scenario_06,Billing dispute with repeat comp pattern,returning_guest,business_traveler,1450,6200,480,0.74,billing_or_fee_dispute,process,3,0.55,true,35,0.5,0.52,0.58,Prior comp pattern requires manager review rather than an automatic decision
scenario_07,Light noise disruption when occupancy allows late checkout,new_guest,coastal_weekend,1200,2500,565,0.01,noise_disruption,process,2,0.15,true,30,0.25,0.25,0.25,Low-severity recovery where late checkout can preserve goodwill without high comp cost
scenario_08,Room assignment gap on special occasion,event_or_suite_guest,coastal_weekend,4400,26000,1100,0.05,room_assignment_expectation_gap,outcome,4,0.8,true,80,0.74,0.72,0.68,Upgrade-forward recovery case
scenario_09,Minor billing friction for first-time guest,new_guest,design_leisure,900,1600,450,0.06,billing_or_fee_dispute,process,1,0.2,true,25,0.25,0.25,0.5,Low-cost fee-waiver case that avoids over-refunding a modest issue
scenario_10,Severe room readiness issue after checkout,vip_guest,business_traveler,3900,24000,975,0.02,room_readiness_delay,outcome,5,0.95,false,360,0.92,0.9,0.9,Rare partial-refund or future-stay-credit edge case
