sample_row_id,source_row_number,hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date,stay_nights,room_type_mismatch
booking_sample_0001,89,Resort Hotel,1,79,2015,July,27,3,6,15,2,1,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,242,NULL,0,Transient,108.73,0,2,Canceled,2015-04-15,21,false
booking_sample_0002,95,Resort Hotel,0,109,2015,July,27,3,0,1,2,0,0,BB,BEL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,123,0,2,Check-Out,2015-07-04,1,false
booking_sample_0003,208,Resort Hotel,1,88,2015,July,28,7,2,5,2,0,0,HB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,NULL,0,Transient,139,0,2,Canceled,2015-04-13,7,false
booking_sample_0004,239,Resort Hotel,1,17,2015,July,28,9,1,3,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,105.08,0,0,Canceled,2015-06-23,4,false
booking_sample_0005,247,Resort Hotel,0,366,2015,July,28,9,2,5,2,0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,40,NULL,0,Contract,134.73,0,0,Check-Out,2015-07-16,7,false
booking_sample_0006,484,Resort Hotel,0,24,2015,July,29,17,2,3,3,1,0,BB,PRT,Direct,Direct,0,0,0,G,G,1,No Deposit,NULL,NULL,0,Transient,195,0,1,Check-Out,2015-07-22,5,false
booking_sample_0007,529,Resort Hotel,0,44,2015,July,29,18,2,5,2,0,0,HB,ESP,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,NULL,0,Transient,177,1,0,Check-Out,2015-07-25,7,false
booking_sample_0008,927,Resort Hotel,0,9,2015,August,32,6,0,3,2,2,0,HB,ESP,Online TA,TA/TO,0,0,0,G,C,2,No Deposit,240,NULL,0,Transient,268,1,1,Check-Out,2015-08-09,3,true
booking_sample_0009,1305,Resort Hotel,0,82,2015,August,35,23,2,3,3,1,0,BB,PRT,Direct,Direct,0,0,0,C,C,0,No Deposit,250,NULL,0,Transient,199,0,0,Check-Out,2015-08-28,5,false
booking_sample_0010,1392,Resort Hotel,1,164,2015,August,35,28,0,1,2,1,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,134,NULL,0,Transient,120.38,0,0,Canceled,2015-08-13,1,false
booking_sample_0011,1460,Resort Hotel,1,47,2015,August,36,30,2,5,1,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,113.43,0,0,Canceled,2015-07-20,7,false
booking_sample_0012,1490,Resort Hotel,0,48,2015,September,36,1,0,3,2,0,0,HB,ESP,Direct,Direct,0,0,0,A,C,0,No Deposit,250,NULL,0,Transient,134.67,0,1,Check-Out,2015-09-04,3,true
booking_sample_0013,1502,Resort Hotel,1,161,2015,September,36,1,0,5,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,NULL,0,Transient,93.12,0,2,Canceled,2015-07-01,5,false
booking_sample_0014,1685,Resort Hotel,1,1,2015,September,37,9,1,4,2,0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,NULL,NULL,0,Transient,124.4,0,0,Canceled,2015-09-09,5,false
booking_sample_0015,1804,Resort Hotel,0,354,2015,September,38,15,4,10,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,E,1,No Deposit,40,NULL,0,Contract,68.88,0,0,Check-Out,2015-09-29,14,true
booking_sample_0016,1989,Resort Hotel,0,106,2015,September,39,25,2,5,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,241,NULL,0,Transient,53.68,0,1,Check-Out,2015-10-02,7,false
booking_sample_0017,2221,Resort Hotel,1,43,2015,October,41,6,0,1,1,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,240,NULL,0,Transient,52.2,0,0,Canceled,2015-09-04,1,false
booking_sample_0018,2395,Resort Hotel,0,5,2015,October,42,11,2,0,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,50.4,0,2,Check-Out,2015-10-13,2,false
booking_sample_0019,2660,Resort Hotel,1,148,2015,October,43,24,0,1,2,0,0,BB,PRT,Groups,Direct,0,0,0,A,A,0,Non Refund,NULL,NULL,0,Transient,47,0,0,Canceled,2015-06-26,1,false
booking_sample_0020,2682,Resort Hotel,1,148,2015,October,43,24,0,1,2,0,0,BB,PRT,Groups,Direct,0,0,0,A,A,0,Non Refund,NULL,NULL,0,Transient,47,0,0,Canceled,2015-06-26,1,false
booking_sample_0021,2815,Resort Hotel,1,155,2015,October,44,31,0,1,2,0,0,BB,PRT,Groups,Direct,0,0,0,A,A,0,Non Refund,NULL,NULL,0,Transient,36,0,0,Canceled,2015-10-26,1,false
booking_sample_0022,3049,Resort Hotel,0,21,2015,November,46,12,0,3,1,0,0,BB,FRA,Corporate,Corporate,0,0,0,A,A,1,No Deposit,334,281,0,Transient-Party,40,0,0,Check-Out,2015-11-15,3,false
booking_sample_0023,3170,Resort Hotel,1,122,2015,November,47,20,0,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,32.4,0,2,Canceled,2015-10-08,2,false
booking_sample_0024,3286,Resort Hotel,0,45,2015,December,49,3,0,2,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,NULL,0,Transient,55.95,1,1,Check-Out,2015-12-05,2,false
booking_sample_0025,3354,Resort Hotel,1,149,2015,December,49,5,2,1,2,0,0,FB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,38,NULL,0,Transient,68,0,0,Canceled,2015-11-19,3,false
booking_sample_0026,3379,Resort Hotel,1,149,2015,December,49,5,2,1,2,0,0,FB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,38,NULL,0,Transient,68,0,0,Canceled,2015-11-19,3,false
booking_sample_0027,3399,Resort Hotel,1,149,2015,December,49,5,2,1,2,0,0,FB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,38,NULL,0,Transient,68,0,0,Canceled,2015-11-19,3,false
booking_sample_0028,3566,Resort Hotel,0,65,2015,December,52,23,2,8,2,0,0,BB,IRL,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,NULL,0,Transient,82.17,0,1,Check-Out,2016-01-02,10,false
