recommendation_id,recovery_case_id,service_ticket_id,pms_reservation_id,guest_tier,traveler_segment,stay_value,estimated_lifetime_value,reservation_match_confidence,crm_match_confidence,data_quality_flags,failure_category,failure_type,severity,hotel_responsibility_score,reported_in_stay,occupancy_pressure,target_property_name,has_rooftop_f_and_b,has_lobby_lounge,has_spa_wellness,has_pool_or_rooftop,has_parking_or_fee_recovery_context,property_context_confidence,property_context_provenance,public_review_risk_prior,review_context_confidence,review_context_provenance,event_pressure_index,weather_disruption_index,local_demand_pressure_index,high_local_demand_flag,demand_context_confidence,demand_context_provenance,public_rate_pressure_index,high_demand_rate_flag,target_public_rate,comp_set_median_rate,proper_vs_comp_set_index,upgrade_opportunity_cost_proxy,refund_cost_pressure,rate_context_confidence,pricing_provenance,repeat_comp_review_risk,room_type_mismatch,actual_comp_codes_normalized,actual_comp_face_value,actual_comp_internal_cost,comp_code,comp_label,recommended_comp_value,estimated_internal_cost,internal_cost_low,internal_cost_high,recommended_minus_actual_value,recommended_tier,recovery_need_score,profit_leakage_risk,review_risk_score,brand_impact_risk,expected_recovery_value,manager_review_flag,recommendation_stability,decision_confidence,policy_version,recommendation_reason_codes,recommendation_counterfactuals,recommendation_alternatives_json,recommendation_score_components_json,recommendation_assumptions,recommendation_explanation
rec_00001,case_00001,TKT000001,PMS001443,new_guest,coastal_weekend,3540,7590,1.0,0.95,no_comp_record,housekeeping_miss,outcome,3,0.9,false,0.712,Santa Monica Proper Hotel,true,true,true,true,true,0.88,observed_public_property_context,0.72,0.28,sample_seed_review_taxonomy_prior,0.48,0.139,0.436,false,0.32,sample_seed_local_demand_context,0.198,false,670,720,0.931,83,0.943,0.92,sample_seed_public_rate_shape,0,false,,0,0,rooftop_f_and_b_credit,Calabra or Palma dining credit,180,72,45,108,180,4,58.44,0.148,0.354,0.458,486,false,0.889,high,smp-public-context-v1.0.0,hotel_responsible_failure;high_perceived_value_lower_estimated_cost;property_fit_changed_recovery,"Property fit changed the recommendation: without this signal, the model would prefer future-stay credit at $205.","[{""comp_code"": ""future_stay_credit"", ""comp_label"": ""future-stay credit"", ""guest_facing_value"": 205, ""internal_cost_expected"": 123, ""internal_cost_high"": 174, ""internal_cost_low"": 62, ""policy_score"": 116.0}, {""comp_code"": ""spa_wellness_credit"", ""comp_label"": ""Surya Spa or Recovery Suite credit"", ""guest_facing_value"": 330, ""internal_cost_expected"": 182, ""internal_cost_high"": 248, ""internal_cost_low"": 99, ""policy_score"": 98.33}]","{""fit_score"": 0.537, ""leakage_penalty"": 18.0, ""operational_penalty"": 0.0, ""perceived_value"": 225.0, ""policy_score"": 118.55}","Internal cost is a policy range, not observed property margin. | Guest relationship value and recovery value are synthetic scenario inputs. | Public context cannot substitute for live occupancy, inventory, or approved hotel policy.","Recommend $180 Calabra or Palma dining credit for a new guest with a severity 3 housekeeping miss reported after checkout. Estimated internal cost is $45-$108, not an observed property margin. Rationale: hotel responsible failure, high perceived value lower estimated cost, property fit changed recovery. Recommendation stability is 89%. The closest alternative was $205 future-stay credit; the recommended gesture scored better on recovery fit, estimated cost, and operational constraints."
rec_00002,case_00002,TKT000002,PMS000013,returning_guest,design_leisure,980,3640,1.0,0.95,,housekeeping_miss,outcome,4,0.95,true,0.642,Santa Monica Proper Hotel,true,true,true,true,true,0.88,observed_public_property_context,0.72,0.28,sample_seed_review_taxonomy_prior,0.48,0.585,0.497,false,0.32,sample_seed_local_demand_context,0.455,false,735,735,1.0,132,1.051,0.92,sample_seed_public_rate_shape,0.2,true,partial_room_refund,465,465,rooftop_f_and_b_credit,Calabra or Palma dining credit,180,72,45,108,-285,4,68.48,0.369,0.546,0.608,195,false,1.0,high,smp-public-context-v1.0.0,hotel_responsible_failure;high_severity_issue;recoverable_before_checkout;high_perceived_value_lower_estimated_cost;property_fit_changed_recovery,"Property fit changed the recommendation: without this signal, the model would prefer future-stay credit at $170.","[{""comp_code"": ""future_stay_credit"", ""comp_label"": ""future-stay credit"", ""guest_facing_value"": 170, ""internal_cost_expected"": 102, ""internal_cost_high"": 144, ""internal_cost_low"": 51, ""policy_score"": 88.06}, {""comp_code"": ""spa_wellness_credit"", ""comp_label"": ""Surya Spa or Recovery Suite credit"", ""guest_facing_value"": 330, ""internal_cost_expected"": 182, ""internal_cost_high"": 248, ""internal_cost_low"": 99, ""policy_score"": 79.12}]","{""fit_score"": 0.537, ""leakage_penalty"": 28.8, ""operational_penalty"": 0.0, ""perceived_value"": 225.0, ""policy_score"": 115.34}","Internal cost is a policy range, not observed property margin. | Guest relationship value and recovery value are synthetic scenario inputs. | Public context cannot substitute for live occupancy, inventory, or approved hotel policy.","Recommend $180 Calabra or Palma dining credit for a returning guest with a severity 4 housekeeping miss reported before checkout. Estimated internal cost is $45-$108, not an observed property margin. Rationale: hotel responsible failure, high severity issue, recoverable before checkout, high perceived value lower estimated cost. Recommendation stability is 100%. The closest alternative was $170 future-stay credit; the recommended gesture scored better on recovery fit, estimated cost, and operational constraints."
rec_00003,case_00003,TKT000003,PMS000837,returning_guest,design_leisure,5460,16040,1.0,0.95,no_review_or_survey,f_and_b_service_lapse,process,3,0.7,true,0.611,Santa Monica Proper Hotel,true,true,true,true,true,0.88,observed_public_property_context,0.6,0.28,sample_seed_review_taxonomy_prior,0.48,0.044,0.401,false,0.32,sample_seed_local_demand_context,0.257,false,685,725,0.945,94,0.968,0.92,sample_seed_public_rate_shape,0,false,room_upgrade,275,69,rooftop_f_and_b_credit,Calabra or Palma dining credit,150,60,38,90,-125,3,56.87,0.074,0.479,0.519,816,false,1.0,high,smp-public-context-v1.0.0,hotel_responsible_failure;recoverable_before_checkout;high_perceived_value_lower_estimated_cost,,"[{""comp_code"": ""spa_wellness_credit"", ""comp_label"": ""Surya Spa or Recovery Suite credit"", ""guest_facing_value"": 275, ""internal_cost_expected"": 151, ""internal_cost_high"": 206, ""internal_cost_low"": 82, ""policy_score"": 82.12}, {""comp_code"": ""lobby_lounge_credit"", ""comp_label"": ""Palma lounge credit"", ""guest_facing_value"": 100, ""internal_cost_expected"": 38, ""internal_cost_high"": 55, ""internal_cost_low"": 25, ""policy_score"": 66.36}]","{""fit_score"": 1.05, ""leakage_penalty"": 15.0, ""operational_penalty"": 0.0, ""perceived_value"": 187.5, ""policy_score"": 200.68}","Internal cost is a policy range, not observed property margin. | Guest relationship value and recovery value are synthetic scenario inputs. | Public context cannot substitute for live occupancy, inventory, or approved hotel policy.","Recommend $150 Calabra or Palma dining credit for a returning guest with a severity 3 F&B service lapse reported before checkout. Estimated internal cost is $38-$90, not an observed property margin. Rationale: hotel responsible failure, recoverable before checkout, high perceived value lower estimated cost. Recommendation stability is 100%. The closest alternative was $275 Surya Spa or Recovery Suite credit; the recommended gesture scored better on recovery fit, estimated cost, and operational constraints."
rec_00004,case_00004,TKT000004,PMS001087,new_guest,coastal_weekend,1500,3050,1.0,0.95,severity_inferred;no_review_or_survey,valet_or_parking_delay,process,2,0.62,true,0.669,Santa Monica Proper Hotel,true,true,true,true,true,0.88,observed_public_property_context,0.56,0.18,sample_seed_review_taxonomy_prior,0.48,0.04,0.381,false,0.32,sample_seed_local_demand_context,0.455,false,735,690,1.065,132,1.067,0.92,sample_seed_public_rate_shape,0.2,true,spa_wellness_credit,365,201,parking_fee_waiver,parking or destination-fee waiver,75,14,6,26,-290,2,41.04,0.099,0.337,0.37,142,false,1.0,moderate,smp-public-context-v1.0.0,recoverable_before_checkout;high_perceived_value_lower_estimated_cost,,"[{""comp_code"": ""rooftop_f_and_b_credit"", ""comp_label"": ""Calabra or Palma dining credit"", ""guest_facing_value"": 135, ""internal_cost_expected"": 54, ""internal_cost_high"": 81, ""internal_cost_low"": 34, ""policy_score"": 72.91}, {""comp_code"": ""lobby_lounge_credit"", ""comp_label"": ""Palma lounge credit"", ""guest_facing_value"": 90, ""internal_cost_expected"": 34, ""internal_cost_high"": 50, ""internal_cost_low"": 22, ""policy_score"": 49.06}]","{""fit_score"": 0.932, ""leakage_penalty"": 5.6, ""operational_penalty"": 0.0, ""perceived_value"": 86.25, ""policy_score"": 116.26}","Internal cost is a policy range, not observed property margin. | Guest relationship value and recovery value are synthetic scenario inputs. | Public context cannot substitute for live occupancy, inventory, or approved hotel policy.","Recommend $75 parking or destination-fee waiver for a new guest with a severity 2 valet or parking delay reported before checkout. Estimated internal cost is $6-$26, not an observed property margin. Rationale: recoverable before checkout, high perceived value lower estimated cost. Recommendation stability is 100%. The closest alternative was $135 Calabra or Palma dining credit; the recommended gesture scored better on recovery fit, estimated cost, and operational constraints."
rec_00005,case_00005,TKT000005,PMS001405,new_guest,business_traveler,3800,7670,1.0,0.95,no_review_or_survey,housekeeping_miss,outcome,4,0.95,false,0.725,Santa Monica Proper Hotel,true,true,true,true,true,0.88,observed_public_property_context,0.72,0.28,sample_seed_review_taxonomy_prior,0.7,0.052,0.522,false,0.32,sample_seed_local_demand_context,0.613,false,775,785,0.987,166,1.117,0.92,sample_seed_public_rate_shape,0.2,false,room_upgrade,280,70,future_stay_credit,future-stay credit,330,198,99,280,50,4,71.12,0.318,0.616,0.659,623,false,0.963,high,smp-public-context-v1.0.0,hotel_responsible_failure;high_severity_issue,,"[{""comp_code"": ""rooftop_f_and_b_credit"", ""comp_label"": ""Calabra or Palma dining credit"", ""guest_facing_value"": 180, ""internal_cost_expected"": 72, ""internal_cost_high"": 108, ""internal_cost_low"": 45, ""policy_score"": 117.33}, {""comp_code"": ""spa_wellness_credit"", ""comp_label"": ""Surya Spa or Recovery Suite credit"", ""guest_facing_value"": 330, ""internal_cost_expected"": 182, ""internal_cost_high"": 248, ""internal_cost_low"": 99, ""policy_score"": 81.25}]","{""fit_score"": 0.56, ""leakage_penalty"": 79.2, ""operational_penalty"": 0.0, ""perceived_value"": 396.0, ""policy_score"": 174.6}","Internal cost is a policy range, not observed property margin. | Guest relationship value and recovery value are synthetic scenario inputs. | Public context cannot substitute for live occupancy, inventory, or approved hotel policy.","Recommend $330 future-stay credit for a new guest with a severity 4 housekeeping miss reported after checkout. Estimated internal cost is $99-$280, not an observed property margin. Rationale: hotel responsible failure, high severity issue. Recommendation stability is 96%. The closest alternative was $180 Calabra or Palma dining credit; the recommended gesture scored better on recovery fit, estimated cost, and operational constraints."
rec_00006,case_00006,TKT000006,PMS001383,returning_guest,coastal_weekend,1500,5340,1.0,0.95,no_comp_record,billing_or_fee_dispute,process,2,0.55,false,0.659,Santa Monica Proper Hotel,true,true,true,true,true,0.88,observed_public_property_context,0.58,0.28,sample_seed_review_taxonomy_prior,0.22,0.425,0.299,false,0.32,sample_seed_local_demand_context,0.573,false,765,685,1.117,158,1.13,0.92,sample_seed_public_rate_shape,0,false,,0,0,parking_fee_waiver,parking or destination-fee waiver,85,15,7,30,85,3,42.03,0.084,0.338,0.375,179,false,1.0,high,smp-public-context-v1.0.0,high_perceived_value_lower_estimated_cost,,"[{""comp_code"": ""rooftop_f_and_b_credit"", ""comp_label"": ""Calabra or Palma dining credit"", ""guest_facing_value"": 150, ""internal_cost_expected"": 60, ""internal_cost_high"": 90, ""internal_cost_low"": 38, ""policy_score"": 89.77}, {""comp_code"": ""lobby_lounge_credit"", ""comp_label"": ""Palma lounge credit"", ""guest_facing_value"": 100, ""internal_cost_expected"": 38, ""internal_cost_high"": 55, ""internal_cost_low"": 25, ""policy_score"": 82.68}]","{""fit_score"": 0.683, ""leakage_penalty"": 3.75, ""operational_penalty"": 0.0, ""perceived_value"": 97.75, ""policy_score"": 105.54}","Internal cost is a policy range, not observed property margin. | Guest relationship value and recovery value are synthetic scenario inputs. | Public context cannot substitute for live occupancy, inventory, or approved hotel policy.","Recommend $85 parking or destination-fee waiver for a returning guest with a severity 2 billing or fee dispute reported after checkout. Estimated internal cost is $7-$30, not an observed property margin. Rationale: high perceived value lower estimated cost. Recommendation stability is 100%. The closest alternative was $150 Calabra or Palma dining credit; the recommended gesture scored better on recovery fit, estimated cost, and operational constraints."
rec_00007,case_00007,TKT000007,PMS000553,new_guest,business_traveler,2940,3810,1.0,0.95,no_review_or_survey,room_readiness_delay,outcome,3,0.88,true,0.965,Santa Monica Proper Hotel,true,true,true,true,true,0.88,observed_public_property_context,0.74,0.28,sample_seed_review_taxonomy_prior,0.22,0.044,0.262,false,0.32,sample_seed_local_demand_context,0.692,false,795,735,1.082,185,1.171,0.92,sample_seed_public_rate_shape,0.2,true,amenity_gesture,65,29,future_stay_credit,future-stay credit,345,207,104,293,280,4,62.4,0.549,0.518,0.566,377,false,0.963,high,smp-public-context-v1.0.0,hotel_responsible_failure;recoverable_before_checkout,,"[{""comp_code"": ""rooftop_f_and_b_credit"", ""comp_label"": ""Calabra or Palma dining credit"", ""guest_facing_value"": 180, ""internal_cost_expected"": 72, ""internal_cost_high"": 108, ""internal_cost_low"": 45, ""policy_score"": 189.78}, {""comp_code"": ""lobby_lounge_credit"", ""comp_label"": ""Palma lounge credit"", ""guest_facing_value"": 120, ""internal_cost_expected"": 46, ""internal_cost_high"": 66, ""internal_cost_low"": 30, ""policy_score"": 115.55}]","{""fit_score"": 0.7, ""leakage_penalty"": 82.8, ""operational_penalty"": 0.0, ""perceived_value"": 414.0, ""policy_score"": 233.08}","Internal cost is a policy range, not observed property margin. | Guest relationship value and recovery value are synthetic scenario inputs. | Public context cannot substitute for live occupancy, inventory, or approved hotel policy.","Recommend $345 future-stay credit for a new guest with a severity 3 room readiness delay reported before checkout. Estimated internal cost is $104-$293, not an observed property margin. Rationale: hotel responsible failure, recoverable before checkout. Recommendation stability is 96%. The closest alternative was $180 Calabra or Palma dining credit; the recommended gesture scored better on recovery fit, estimated cost, and operational constraints."
rec_00008,case_00008,TKT000008,PMS001239,new_guest,design_leisure,1830,3250,1.0,0.95,,noise_disruption,process,3,0.48,false,0.728,Santa Monica Proper Hotel,true,true,true,true,true,0.88,observed_public_property_context,0.62,0.28,sample_seed_review_taxonomy_prior,0.48,0.043,0.362,false,0.32,sample_seed_local_demand_context,0.375,false,715,720,0.993,116,1.018,0.92,sample_seed_public_rate_shape,0.2,false,manager_note,0,0,spa_wellness_credit,Surya Spa or Recovery Suite credit,275,151,82,206,275,3,51.01,0.729,0.47,0.488,207,false,0.963,high,smp-public-context-v1.0.0,high_perceived_value_lower_estimated_cost,,"[{""comp_code"": ""late_checkout"", ""comp_label"": ""late checkout"", ""guest_facing_value"": 85, ""internal_cost_expected"": 17, ""internal_cost_high"": 38, ""internal_cost_low"": 7, ""policy_score"": 156.69}, {""comp_code"": ""rooftop_f_and_b_credit"", ""comp_label"": ""Calabra or Palma dining credit"", ""guest_facing_value"": 150, ""internal_cost_expected"": 60, ""internal_cost_high"": 90, ""internal_cost_low"": 38, ""policy_score"": 86.42}]","{""fit_score"": 0.718, ""leakage_penalty"": 60.4, ""operational_penalty"": 0.0, ""perceived_value"": 371.25, ""policy_score"": 217.64}","Internal cost is a policy range, not observed property margin. | Guest relationship value and recovery value are synthetic scenario inputs. | Public context cannot substitute for live occupancy, inventory, or approved hotel policy.","Recommend $275 Surya Spa or Recovery Suite credit for a new guest with a severity 3 noise disruption reported after checkout. Estimated internal cost is $82-$206, not an observed property margin. Rationale: high perceived value lower estimated cost. Recommendation stability is 96%. The closest alternative was $85 late checkout; the recommended gesture scored better on recovery fit, estimated cost, and operational constraints."
rec_00009,case_00009,TKT000009,PMS000232,new_guest,local_staycation,4690,7750,1.0,0.95,,rooftop_pool_access_issue,process,2,0.64,true,0.802,Santa Monica Proper Hotel,true,true,true,true,true,0.88,observed_public_property_context,0.6,0.28,sample_seed_review_taxonomy_prior,0.22,0.327,0.245,false,0.32,sample_seed_local_demand_context,0.375,false,715,650,1.1,116,1.043,0.92,sample_seed_public_rate_shape,0,false,rooftop_f_and_b_credit,115,46,rooftop_f_and_b_credit,Calabra or Palma dining credit,150,60,38,90,35,3,43.33,0.135,0.352,0.389,443,false,1.0,high,smp-public-context-v1.0.0,recoverable_before_checkout;high_perceived_value_lower_estimated_cost,,"[{""comp_code"": ""spa_wellness_credit"", ""comp_label"": ""Surya Spa or Recovery Suite credit"", ""guest_facing_value"": 275, ""internal_cost_expected"": 151, ""internal_cost_high"": 206, ""internal_cost_low"": 82, ""policy_score"": 73.02}, {""comp_code"": ""lobby_lounge_credit"", ""comp_label"": ""Palma lounge credit"", ""guest_facing_value"": 100, ""internal_cost_expected"": 38, ""internal_cost_high"": 55, ""internal_cost_low"": 25, ""policy_score"": 60.62}]","{""fit_score"": 1.026, ""leakage_penalty"": 15.0, ""operational_penalty"": 0.0, ""perceived_value"": 187.5, ""policy_score"": 179.66}","Internal cost is a policy range, not observed property margin. | Guest relationship value and recovery value are synthetic scenario inputs. | Public context cannot substitute for live occupancy, inventory, or approved hotel policy.","Recommend $150 Calabra or Palma dining credit for a new guest with a severity 2 rooftop pool access issue reported before checkout. Estimated internal cost is $38-$90, not an observed property margin. Rationale: recoverable before checkout, high perceived value lower estimated cost. Recommendation stability is 100%. The closest alternative was $275 Surya Spa or Recovery Suite credit; the recommended gesture scored better on recovery fit, estimated cost, and operational constraints."
rec_00010,case_00010,TKT000010,PMS000817,loyalty_guest,event_or_wedding,1260,7190,1.0,0.95,no_comp_record,room_readiness_delay,outcome,1,0.88,true,0.567,Santa Monica Proper Hotel,true,true,true,true,true,0.88,observed_public_property_context,0.74,0.28,sample_seed_review_taxonomy_prior,0.82,0.178,0.669,false,0.32,sample_seed_local_demand_context,0.81,true,825,855,0.965,213,1.2,0.92,sample_seed_public_rate_shape,0,false,,0,0,rooftop_f_and_b_credit,Calabra or Palma dining credit,150,60,38,90,150,3,42.96,0.308,0.383,0.404,195,false,1.0,moderate,smp-public-context-v1.0.0,high_guest_relationship_value;hotel_responsible_failure;recoverable_before_checkout;high_perceived_value_lower_estimated_cost;public_rate_pressure_changed_recovery,"Public rate pressure changed the recommendation: without this signal, the model would prefer late checkout at $85.","[{""comp_code"": ""lobby_lounge_credit"", ""comp_label"": ""Palma lounge credit"", ""guest_facing_value"": 100, ""internal_cost_expected"": 38, ""internal_cost_high"": 55, ""internal_cost_low"": 25, ""policy_score"": 162.2}, {""comp_code"": ""spa_wellness_credit"", ""comp_label"": ""Surya Spa or Recovery Suite credit"", ""guest_facing_value"": 275, ""internal_cost_expected"": 151, ""internal_cost_high"": 206, ""internal_cost_low"": 82, ""policy_score"": 144.18}]","{""fit_score"": 0.859, ""leakage_penalty"": 15.0, ""operational_penalty"": 0.0, ""perceived_value"": 187.5, ""policy_score"": 220.28}","Internal cost is a policy range, not observed property margin. | Guest relationship value and recovery value are synthetic scenario inputs. | Public context cannot substitute for live occupancy, inventory, or approved hotel policy.","Recommend $150 Calabra or Palma dining credit for a loyalty guest with a severity 1 room readiness delay reported before checkout. Estimated internal cost is $38-$90, not an observed property margin. Rationale: high guest relationship value, hotel responsible failure, recoverable before checkout, high perceived value lower estimated cost. Recommendation stability is 100%. The closest alternative was $100 Palma lounge credit; the recommended gesture scored better on recovery fit, estimated cost, and operational constraints."
